commune,region,population,part_65_plus_pct,score
Bussy-Saint-Georges,11 - Île-de-France,26806,6.8,39010.22768139486
Palavas-les-Flots,76 - Occitanie,5903,33.5,39010.18969895084
Noyant-Villages,52 - Pays de la Loire,5589,26.6,39006.91124357595
Entre-Deux,04 - La Réunion,6914,14.4,39004.09974941648
Florange,44 - Grand Est,11864,20.2,38976.73764725079
Aureilhan,76 - Occitanie,7849,28.5,38972.027696378675
Riorges,84 - Auvergne-Rhône-Alpes,10757,26.9,38970.71801050789
Raon-l'Étape,44 - Grand Est,6297,25.5,38968.19775356677
Orée d'Anjou,52 - Pays de la Loire,16354,15.9,38962.98801669868
Fresnes-sur-Escaut,32 - Hauts-de-France,7532,16.8,38959.87952370282
Houdain,32 - Hauts-de-France,7178,21.4,38950.26959865347
Saint-Pierre-en-Auge,28 - Normandie,7503,26.3,38948.48879803361
Valserhône,84 - Auvergne-Rhône-Alpes,16431,16.2,38940.37621097445
Bourg-de-Péage,84 - Auvergne-Rhône-Alpes,10007,22.9,38937.42420988609
Morcenx-la-Nouvelle,75 - Nouvelle-Aquitaine,5022,32.0,38932.53990836073
Penmarch,53 - Bretagne,5142,35.7,38927.07583752011
Calonne-Ricouart,32 - Hauts-de-France,5520,19.3,38926.928250149234
Les Ponts-de-Cé,52 - Pays de la Loire,12811,23.4,38926.014826395614
Hombourg-Haut,44 - Grand Est,6272,24.0,38912.674291344796
Capesterre-Belle-Eau,01 - Guadeloupe,18131,21.1,38911.21594110798
Aniche,32 - Hauts-de-France,10146,13.6,38901.97322483087
Oissel,28 - Normandie,12102,16.8,38900.17798749483
Ombrée d'Anjou,52 - Pays de la Loire,8962,23.4,38898.12984498809
Ville-d'Avray,11 - Île-de-France,11050,17.3,38895.71798740867
Coulounieix-Chamiers,75 - Nouvelle-Aquitaine,7458,28.5,38892.20852642382
Montigny-en-Gohelle,32 - Hauts-de-France,10315,17.3,38886.32605651195
Courrières,32 - Hauts-de-France,10544,19.1,38884.9456609289
Quiévrechain,32 - Hauts-de-France,6355,16.3,38883.772874525486
Les Avirons,04 - La Réunion,11246,12.6,38878.18385724086
Barlin,32 - Hauts-de-France,7603,17.9,38873.08601149079
Saint-Pourçain-sur-Sioule,84 - Auvergne-Rhône-Alpes,5182,29.9,38861.30806106465
Condé-en-Normandie,28 - Normandie,6524,26.6,38857.809877528394
Carrières-sous-Poissy,11 - Île-de-France,16248,12.2,38856.06747864146
Saint-Cyr-au-Mont-d'Or,84 - Auvergne-Rhône-Alpes,5721,23.5,38853.648057081635
La Plaine-des-Palmistes,04 - La Réunion,6568,10.7,38852.402418493635
Balaruc-les-Bains,76 - Occitanie,6867,32.4,38848.77216657862
Dugny,11 - Île-de-France,10757,8.9,38825.52634723567
Auby,32 - Hauts-de-France,7256,17.7,38817.462513514285
Panazol,75 - Nouvelle-Aquitaine,10974,30.2,38807.15459497593
Waziers,32 - Hauts-de-France,7427,15.2,38803.726815129965
Prévessin-Moëns,84 - Auvergne-Rhône-Alpes,8474,9.8,38801.177973264756
Coursan,76 - Occitanie,5864,25.9,38793.47364614532
Lallaing,32 - Hauts-de-France,6297,21.9,38787.60113609017
Pia,76 - Occitanie,9228,17.6,38782.577820283805
Beuvry,32 - Hauts-de-France,9331,19.8,38778.05999829272
Morne-à-l'Eau,01 - Guadeloupe,16875,21.5,38765.70321148403
Sainte-Luce,02 - Martinique,9651,17.5,38756.937629613196
Mainvilliers,24 - Centre-Val de Loire,11087,16.9,38755.25760336666
Rombas,44 - Grand Est,9833,20.0,38731.298842312186
Septèmes-les-Vallons,93 - Provence-Alpes-Côte d'Azur,11058,20.7,38729.35703431254
Breuillet,11 - Île-de-France,8347,36.5,38727.304083444906
Lys-Haut-Layon,52 - Pays de la Loire,7830,24.2,38706.09359447298
Sainte-Rose,01 - Guadeloupe,18650,18.2,38705.7933131136
Kourou,03 - Guyane,24959,4.8,38704.52833243755
Épinay-sous-Sénart,11 - Île-de-France,12279,11.6,38703.89461503425
Persan,11 - Île-de-France,13386,10.1,38696.20135312388
Moyeuvre-Grande,44 - Grand Est,7662,20.8,38694.5954702785
Mazingarbe,32 - Hauts-de-France,8036,13.9,38694.575471714095
Saint-Florent-sur-Cher,24 - Centre-Val de Loire,6457,27.8,38691.285209110974
Gennes-Val-de-Loire,52 - Pays de la Loire,8661,24.9,38680.46320220756
Villars,84 - Auvergne-Rhône-Alpes,7952,34.7,38670.742503151705
Loire-Authion,52 - Pays de la Loire,15812,18.9,38660.35318399097
Ciboure,75 - Nouvelle-Aquitaine,6220,32.3,38659.950457369
Pont-Sainte-Marie,44 - Grand Est,5161,25.5,38659.029114721234
Villeneuve-sur-Yonne,27 - Bourgogne-Franche-Comté,5179,28.5,38647.76235982369
Arnouville,11 - Île-de-France,14329,14.8,38644.69904146309
Lamorlaye,32 - Hauts-de-France,8823,22.8,38639.21870377358
Villeneuve-lès-Avignon,76 - Occitanie,11769,28.7,38629.973776868115
Briare,24 - Centre-Val de Loire,5207,29.3,38626.964353219395
Ostwald,44 - Grand Est,12586,18.1,38620.323790574126
Belleville-en-Beaujolais,84 - Auvergne-Rhône-Alpes,13057,16.9,38615.11289921691
Trégueux,53 - Bretagne,8447,28.5,38613.146007657015
Uckange,44 - Grand Est,6829,18.5,38600.379371676194
Mézidon Vallée d'Auge,28 - Normandie,9607,18.4,38593.666489143674
Le Pont-de-Claix,84 - Auvergne-Rhône-Alpes,10605,17.2,38588.12646406432
Grand-Charmont,27 - Bourgogne-Franche-Comté,5754,21.9,38578.16070572372
Gonfreville-l'Orcher,28 - Normandie,9162,16.8,38567.128404781746
Pecquencourt,32 - Hauts-de-France,6050,16.8,38566.87340863551
Salbris,24 - Centre-Val de Loire,5060,29.8,38564.18622485484
Hœnheim,44 - Grand Est,11145,24.2,38563.22439136432
Capavenir Vosges,44 - Grand Est,8748,21.6,38562.732680495064
Moissy-Cramayel,11 - Île-de-France,17882,8.0,38560.303808049066
Beynes,11 - Île-de-France,7651,29.7,38555.046387665905
Talmont-Saint-Hilaire,52 - Pays de la Loire,7748,29.9,38553.058241792176
Tonnay-Charente,75 - Nouvelle-Aquitaine,8048,23.0,38552.30034740866
Saint-Saulve,32 - Hauts-de-France,11353,19.8,38550.899014678995
Viry,84 - Auvergne-Rhône-Alpes,5299,18.1,38547.752760202464
Wingles,32 - Hauts-de-France,8754,15.4,38546.78056617409
Labruguière,76 - Occitanie,6502,25.1,38532.36764038084
Feignies,32 - Hauts-de-France,6854,18.3,38523.56144197041
Villennes-sur-Seine,11 - Île-de-France,5331,19.1,38521.71440717664
Villefranche-sur-Mer,93 - Provence-Alpes-Côte d'Azur,5064,36.0,38510.580174693685
Blanzy,27 - Bourgogne-Franche-Comté,6097,27.5,38510.128341041585
Nouzonville,44 - Grand Est,5760,20.5,38497.055368530164
Jurançon,75 - Nouvelle-Aquitaine,7098,26.8,38496.87621217002
Fouquières-lès-Lens,32 - Hauts-de-France,6399,16.6,38496.15876961413
Le Pecq,11 - Île-de-France,15949,20.1,38472.702186359485
Beuvrages,32 - Hauts-de-France,6821,15.3,38467.870354150094
Bures-sur-Yvette,11 - Île-de-France,9577,21.5,38462.91135178651
Caudebec-lès-Elbeuf,28 - Normandie,10156,19.5,38455.213086810974
Milhaud,76 - Occitanie,5717,24.0,38455.13661209044
Colombelles,28 - Normandie,6941,17.7,38442.89994982552
Grand-Couronne,28 - Normandie,9716,17.8,38419.78911278117
Jouy-en-Josas,11 - Île-de-France,8124,16.6,38418.60331490118
L'Île-Saint-Denis,11 - Île-de-France,8012,10.1,38417.04548291317
Livarot-Pays-d'Auge,28 - Normandie,6254,22.6,38414.80267075713
Déville-lès-Rouen,28 - Normandie,10461,17.7,38406.10144584727
Moncoutant-sur-Sèvre,75 - Nouvelle-Aquitaine,5046,25.9,38388.00231034236
Gex,84 - Auvergne-Rhône-Alpes,13093,10.1,38384.3964021341
Cabriès,93 - Provence-Alpes-Côte d'Azur,9834,20.0,38380.31686933705
Lanton,75 - Nouvelle-Aquitaine,7098,33.1,38376.1942477889
Grenay,32 - Hauts-de-France,6851,12.2,38367.8602722908
Gerzat,84 - Auvergne-Rhône-Alpes,10315,19.6,38367.69943063726
La Riche,24 - Centre-Val de Loire,10331,17.0,38360.669704133375
Binic-Étables-sur-Mer,53 - Bretagne,7006,36.3,38358.19038625304
Oraison,93 - Provence-Alpes-Côte d'Azur,5891,28.4,38352.442150903655
Les Arcs,93 - Provence-Alpes-Côte d'Azur,7033,22.8,38341.82272948753
Loos-en-Gohelle,32 - Hauts-de-France,6855,18.0,38323.654574221924
Machecoul-Saint-Même,52 - Pays de la Loire,7553,23.0,38321.21089347699
Le Soler,76 - Occitanie,7753,20.7,38315.3407796085
Riantec,53 - Bretagne,5722,28.5,38309.63322010009
Ferrière-la-Grande,32 - Hauts-de-France,5292,18.4,38306.26547375117
Aulnoy-lez-Valenciennes,32 - Hauts-de-France,7280,18.5,38305.75237623297
Ventabren,93 - Provence-Alpes-Côte d'Azur,5433,25.2,38304.29928224584
Les Hauts-d'Anjou,52 - Pays de la Loire,8762,18.7,38290.68643011332
Bogny-sur-Meuse,44 - Grand Est,5032,20.1,38289.83512755985
Gouvieux,32 - Hauts-de-France,9023,23.1,38286.74420048711
Conches-en-Ouche,28 - Normandie,5004,21.5,38285.61161073093
Carrières-sur-Seine,11 - Île-de-France,15003,12.6,38265.0839466953
Mouans-Sartoux,93 - Provence-Alpes-Côte d'Azur,9911,25.6,38261.853941455745
Jonquières,93 - Provence-Alpes-Côte d'Azur,5436,24.4,38261.5711955269
Le Mené,53 - Bretagne,6406,24.2,38261.31246505446
Gauchy,32 - Hauts-de-France,5254,23.7,38257.38090779296
Sauvian,76 - Occitanie,5419,26.7,38245.72725541278
Saint-Mandrier-sur-Mer,93 - Provence-Alpes-Côte d'Azur,5979,28.8,38244.645633991844
Souleuvre en Bocage,28 - Normandie,8899,18.7,38240.15792748994
Wallers,32 - Hauts-de-France,5568,19.6,38236.27047527668
Villemandeur,24 - Centre-Val de Loire,6767,26.5,38234.95068000628
Guînes,32 - Hauts-de-France,5619,15.9,38232.703951111616
Ruelle-sur-Touvre,75 - Nouvelle-Aquitaine,7246,26.2,38232.411706265804
Courcelles-lès-Lens,32 - Hauts-de-France,7918,13.2,38228.43523868349
Pont-Évêque,84 - Auvergne-Rhône-Alpes,5207,19.3,38226.31995001638
Saint-Jacques-de-la-Lande,53 - Bretagne,13533,10.7,38206.22458972495
Boulazac Isle Manoire,75 - Nouvelle-Aquitaine,10725,19.6,38201.140802793314
Fleury-Mérogis,11 - Île-de-France,13917,3.7,38197.34632253157
Port-Jérôme-sur-Seine,28 - Normandie,10157,19.9,38194.32017685823
Petit-Couronne,28 - Normandie,8655,17.9,38189.767005389695
Saint-Doulchard,24 - Centre-Val de Loire,9549,28.6,38180.44519566324
Gond-Pontouvre,75 - Nouvelle-Aquitaine,6057,24.6,38175.29121336935
Soisy-sous-Montmorency,11 - Île-de-France,18243,17.5,38171.80668803609
Entraigues-sur-la-Sorgue,93 - Provence-Alpes-Côte d'Azur,8534,20.3,38169.39235577149
Bassens,75 - Nouvelle-Aquitaine,7404,18.6,38165.750390635636
Le Mesnil-Saint-Denis,11 - Île-de-France,6814,21.5,38158.33919602829
Nueil-les-Aubiers,75 - Nouvelle-Aquitaine,5513,21.9,38158.07795264832
Cazouls-lès-Béziers,76 - Occitanie,5023,20.7,38153.9873467068
Longvic,27 - Bourgogne-Franche-Comté,8416,20.0,38153.97034798748
Ostricourt,32 - Hauts-de-France,5367,17.0,38153.49457284189
Le Controis-en-Sologne,24 - Centre-Val de Loire,6783,25.5,38151.36966870461
Déols,24 - Centre-Val de Loire,7559,24.5,38138.35951360629
Chanteloup-les-Vignes,11 - Île-de-France,10341,11.2,38133.28507777933
L'Isle-d'Espagnac,75 - Nouvelle-Aquitaine,5592,27.0,38123.68657833902
Lamentin,01 - Guadeloupe,16536,15.7,38119.514418730745
Le Thor,93 - Provence-Alpes-Côte d'Azur,8996,20.2,38113.3150922741
Hersin-Coupigny,32 - Hauts-de-France,6263,15.3,38109.8080493785
Faverges-Seythenex,84 - Auvergne-Rhône-Alpes,7608,24.4,38100.79610295309
Moret-Loing-et-Orvanne,11 - Île-de-France,12110,22.4,38094.92986680122
Le Malesherbois,24 - Centre-Val de Loire,8142,18.8,38092.75657785921
Buxerolles,75 - Nouvelle-Aquitaine,10042,22.6,38087.289428150725
Roost-Warendin,32 - Hauts-de-France,6089,20.9,38077.20109044354
Saint-Aubin-lès-Elbeuf,28 - Normandie,8277,21.0,38071.28429953518
Saint-Pierre-lès-Elbeuf,28 - Normandie,8305,21.9,38068.2833844944
Noyelles-Godault,32 - Hauts-de-France,5828,16.1,38062.02573216095
Leforest,32 - Hauts-de-France,7232,17.4,38061.28162098542
Cappelle-la-Grande,32 - Hauts-de-France,7909,17.3,38046.503752042794
Algrange,44 - Grand Est,6145,21.5,38043.31810311777
Le Mesnil-le-Roi,11 - Île-de-France,6292,19.2,38017.428930818365
Guénange,44 - Grand Est,7341,20.4,38012.80923272261
Le Passage,75 - Nouvelle-Aquitaine,9447,16.9,38012.7458124527
Saint-Martin-lez-Tatinghem,32 - Hauts-de-France,5914,22.1,38012.51025949802
Aubergenville,11 - Île-de-France,11974,13.5,38006.93725445732
Cloyes-les-Trois-Rivières,24 - Centre-Val de Loire,5651,27.3,38002.88243759591
Saint-Étienne-au-Mont,32 - Hauts-de-France,5118,16.8,37995.96935706901
Courthézon,93 - Provence-Alpes-Côte d'Azur,5723,20.9,37992.38403685652
Fenain,32 - Hauts-de-France,5448,18.0,37990.99242358921
Marck,32 - Hauts-de-France,10649,14.5,37987.688586848526
Séméac,76 - Occitanie,5005,27.2,37984.75537069865
Voisins-le-Bretonneux,11 - Île-de-France,10921,15.0,37972.47742159135
Valdallière,28 - Normandie,5853,20.1,37970.01543211744
Petite-Rosselle,44 - Grand Est,6322,18.9,37967.79209287825
Vallons-de-l'Erdre,52 - Pays de la Loire,6549,19.6,37965.22929654115
Unieux,84 - Auvergne-Rhône-Alpes,8408,20.8,37963.91611548294
Flers-en-Escrebieux,32 - Hauts-de-France,5816,15.9,37961.53317974608
Villeneuve-lès-Maguelone,76 - Occitanie,10178,17.0,37960.70155190351
Plouguerneau,53 - Bretagne,6623,25.6,37958.491850160106
