code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl,equipee
13019,Cabriès,93 - Provence-Alpes-Côte d'Azur,10240,20.28,37450.0,18.1112105088908,0.0,3,0,43.45193283950618,5.349882469135802,0.0,30986.18817340582,False,False,123.0905488496896,1
13030,Cuges-les-Pins,93 - Provence-Alpes-Côte d'Azur,6236,15.91,28010.0,12.2612846032291,0.0,0,0,43.27777095890411,5.708842328767124,5.3,30885.813276920817,True,False,94.11595668707427,0
13033,Ensuès-la-Redonne,93 - Provence-Alpes-Côte d'Azur,5757,20.58,32620.0,18.0862757493737,0.0,1,0,43.35529493975904,5.199253734939759,0.0,31080.802955960942,False,False,84.2673129850411,1
13035,Eyguières,93 - Provence-Alpes-Côte d'Azur,7119,19.96,28960.0,13.5685986864432,0.0,1,0,43.71213205479452,5.010950958904109,0.0,30450.20898649175,False,False,64.12918505862768,1
13040,Fuveau,93 - Provence-Alpes-Côte d'Azur,10337,18.08,31570.0,16.1670927593952,0.0,2,0,43.460399230769234,5.553996538461537,0.0,30263.98091035377,False,False,111.24970317663276,1
13043,Gignac-la-Nerthe,93 - Provence-Alpes-Côte d'Azur,10343,18.78,27430.0,16.0068172219532,0.0,0,0,43.390595,5.232186363636364,3.0,30385.962413997517,True,False,102.48235522964777,0
13044,Grans,93 - Provence-Alpes-Côte d'Azur,5489,22.1,30470.0,14.385360872616,0.0,0,0,43.608485306122446,5.051080612244898,4.2,31565.873440638577,True,False,89.06895262381128,0
13051,Lançon-Provence,93 - Provence-Alpes-Côte d'Azur,9915,17.76,29580.0,14.2228134275841,0.0,1,0,43.57965726315789,5.160214105263157,0.0,30886.72674221258,False,False,104.77183812736594,1
13060,Meyreuil,93 - Provence-Alpes-Côte d'Azur,6747,16.82,30770.0,17.6134755797057,0.0,0,0,43.49426852459016,5.493277377049181,3.1,30826.5249431486,True,False,110.02135460628412,0
13066,Noves,93 - Provence-Alpes-Côte d'Azur,6080,21.19,26120.0,11.8172737347435,0.0,0,0,43.856033548387096,4.902976612903225,4.0,30568.487469437096,True,False,85.06273565131532,0
