rang,commune,region,population,part_65_plus_pct,nb_audioprothesistes_2022,score,desert_5000,prioritaire
3447,Martigny,32 - Hauts-de-France,437,26.2,0,38288.677384175106,False,False
3448,Villebois-Lavalette,75 - Nouvelle-Aquitaine,730,33.0,0,38288.62723255306,False,False
3449,Le Poujol-sur-Orb,76 - Occitanie,1045,28.4,0,38288.49018890793,False,False
3450,Saint-Martin-d'Ary,75 - Nouvelle-Aquitaine,470,30.9,0,38288.38190344492,False,False
3451,Villeneuve,75 - Nouvelle-Aquitaine,396,29.3,0,38288.19748353642,False,False
3452,Quettehou,28 - Normandie,1789,30.1,0,38288.1032912734,False,False
3453,Camps-Saint-Mathurin-Léobazel,75 - Nouvelle-Aquitaine,228,28.5,0,38287.966167355924,False,False
3454,Pradelles-Cabardès,76 - Occitanie,143,28.3,0,38287.93259159703,False,False
3455,Séméacq-Blachon,75 - Nouvelle-Aquitaine,163,35.6,0,38287.517894661774,False,False
3456,Mazouau,76 - Occitanie,16,50.0,0,38287.514273529,False,False
3457,Verrières,75 - Nouvelle-Aquitaine,986,37.7,0,38287.307013487974,False,False
