code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl,rang
97304,Kourou,03 - Guyane,24824,6.14,,15.9611624882161,0.0,0,0,4.888053491124261,-52.78356144970414,31.7,39617.48768587103,True,True,0.0,1
97311,Saint-Laurent-du-Maroni,03 - Guyane,54429,3.27,,16.3231436429449,0.0,0,0,4.957389082706767,-53.96872469172932,146.5,39522.4729315028,True,True,0.0,2
97306,Mana,03 - Guyane,10957,4.07,,12.7578073046412,0.0,0,0,5.011085788787484,-53.68978615384615,115.1,39157.39574054671,True,True,0.0,3
97353,Maripasoula,03 - Guyane,9579,2.34,,13.3164044517987,0.0,0,0,2.899057536800785,-53.87542943081453,282.7,39006.40856416142,True,True,0.0,4
97357,Grand-Santi,03 - Guyane,9668,2.52,,12.7578073046412,0.0,0,0,4.37798747826087,-54.13812782608696,184.7,38994.88436276151,True,True,0.0,5
97360,Apatou,03 - Guyane,10306,2.42,,12.7578073046412,0.0,0,0,4.832381499999999,-54.22469170588237,176.8,38988.60217426419,True,True,0.0,6
97362,Papaichton,03 - Guyane,5006,2.27,,13.3164044517987,0.0,0,0,4.05633476340694,-54.01847624605677,193.2,38972.76036353169,True,True,0.0,7
97419,Sainte-Rose,04 - La Réunion,6557,14.7,15990.0,11.9285408724221,0.0,0,0,-21.172139145728643,55.75810175879396,15.5,37930.95188160143,True,True,27.113471301563997,8
97305,Macouria,03 - Guyane,19899,5.49,,15.3692207641306,0.0,0,0,4.968145378787879,-52.50396446969697,25.9,37851.95208918077,True,True,11.026692924577452,9
49248,Ombrée d'Anjou,52 - Pays de la Loire,8813,25.48,23850.0,10.9553462799925,0.0,0,0,47.72413737430167,-1.1111849162011174,18.6,37085.999294628695,True,True,60.41534539030032,10
97214,Le Lorrain,02 - Martinique,6566,29.33,,13.3060177974875,0.0,0,0,14.799713454545456,-61.075200181818175,16.0,36087.29231540357,True,True,15.596696011831565,11
49228,Noyant-Villages,52 - Pays de la Loire,5448,29.22,22210.0,8.59596616748528,0.0,0,0,47.51860821052632,0.1061441842105263,13.9,36085.27323970478,True,True,44.51531204427021,12
