commune,region,population,part_65_plus_pct,densite_hab_km2,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,hab_par_audio,nb_orl_liberaux_2022
Le Mesnil-Amey,28 - Normandie,281,13.3,100.0,20710.0,8.7,0,281.0,0
Jametz,44 - Grand Est,259,14.7,14.85,19770.0,7.2,0,259.0,0
Houville-en-Vexin,28 - Normandie,234,13.2,28.92,20640.0,9.5,0,234.0,0
Luppy,44 - Grand Est,574,11.1,35.3,23400.0,9.1,0,574.0,0
Orgueil,76 - Occitanie,1691,12.3,120.53,20920.0,8.8,0,1691.0,0
Éteignières,44 - Grand Est,511,14.4,43.34,19870.0,7.3,0,511.0,0
Beuvron,27 - Bourgogne-Franche-Comté,80,29.6,8.42,,6.9,0,80.0,0
Bosville,28 - Normandie,579,13.3,66.63,20210.0,9.4,0,579.0,0
Vivey,44 - Grand Est,53,29.4,4.06,,7.5,0,53.0,0
Hamelin,28 - Normandie,89,29.8,36.18,,6.2,0,89.0,0
Ville-en-Blaisois,44 - Grand Est,148,16.6,21.48,17460.0,6.8,0,148.0,0
Donjeux,44 - Grand Est,388,15.6,30.22,18610.0,6.8,0,388.0,0
Mont-lès-Lamarche,44 - Grand Est,96,29.5,13.52,,7.1,0,96.0,0
Allain,44 - Grand Est,476,12.2,28.88,22480.0,8.1,0,476.0,0
Le Torpt,28 - Normandie,446,11.1,67.68,22810.0,10.3,0,446.0,0
Saint-Vincent-des-Prés,52 - Pays de la Loire,510,14.3,48.53,19780.0,7.7,0,510.0,0
Neuilly,28 - Normandie,181,9.6,38.43,24790.0,10.9,0,181.0,0
Étoile-Saint-Cyrice,93 - Provence-Alpes-Côte d'Azur,30,29.0,2.08,,8.6,0,30.0,0
Nassigny,84 - Auvergne-Rhône-Alpes,184,15.5,10.04,18830.0,7.0,0,184.0,0
Beignon,53 - Bretagne,1931,12.0,77.64,21960.0,7.3,0,1931.0,0
Pont,27 - Bourgogne-Franche-Comté,145,12.8,41.55,21580.0,8.7,0,145.0,0
Bouvelinghem,32 - Hauts-de-France,229,13.9,36.46,19800.0,9.2,0,229.0,0
Canaples,32 - Hauts-de-France,704,12.3,68.62,20940.0,10.4,0,704.0,0
Saint-François-Lacroix,44 - Grand Est,303,9.9,41.34,24870.0,9.7,0,303.0,0
Rocquemont,28 - Normandie,795,10.9,64.85,22910.0,10.1,0,795.0,0
Lamaids,84 - Auvergne-Rhône-Alpes,230,15.6,28.68,18600.0,7.0,0,230.0,0
Trégarantec,53 - Bretagne,605,11.3,116.12,22930.0,9.0,0,605.0,0
Miéry,27 - Bourgogne-Franche-Comté,152,13.8,19.82,20600.0,8.0,0,152.0,0
Noirémont,32 - Hauts-de-France,181,9.4,28.41,24900.0,11.2,0,181.0,0
Thiergeville,28 - Normandie,406,11.2,43.89,22720.0,10.3,0,406.0,0
Bernay-Neuvy-en-Champagne,52 - Pays de la Loire,867,12.9,34.5,21690.0,7.1,0,867.0,0
Arrayou-Lahitte,76 - Occitanie,105,14.4,21.83,19370.0,8.9,0,105.0,0
Soulatgé,76 - Occitanie,127,18.9,5.26,13620.0,8.3,0,127.0,0
Le Tertre-Saint-Denis,11 - Île-de-France,125,5.6,42.96,28920.0,13.4,0,125.0,0
Accolans,27 - Bourgogne-Franche-Comté,93,28.9,17.95,,8.6,0,93.0,0
Saint-Pierre,02 - Martinique,4122,14.1,106.46,14210.0,11.7,0,4122.0,3
Barry-d'Islemade,76 - Occitanie,934,13.1,82.29,20750.0,8.1,0,934.0,0
Carville-la-Folletière,28 - Normandie,415,9.9,95.18,23880.0,11.2,0,415.0,0
La Chapelle-Saint-Martial,75 - Nouvelle-Aquitaine,84,29.5,8.3,,7.0,0,84.0,0
Bonneville-Aptot,28 - Normandie,260,11.3,34.81,22880.0,9.9,0,260.0,0
Parcy-et-Tigny,32 - Hauts-de-France,258,12.1,24.36,22270.0,9.0,0,258.0,0
Val-de-Chalvagne,93 - Provence-Alpes-Côte d'Azur,87,28.7,2.67,,9.2,0,87.0,0
Zoteux,32 - Hauts-de-France,623,13.3,84.88,20150.0,9.2,0,623.0,0
Lamotte-Warfusée,32 - Hauts-de-France,702,10.7,75.0,22970.0,10.5,0,702.0,0
Zimming,44 - Grand Est,709,13.2,90.09,20600.0,8.4,0,709.0,0
Laverrière,32 - Hauts-de-France,36,28.6,9.63,,9.5,0,36.0,0
Loubaresse,84 - Auvergne-Rhône-Alpes,43,29.3,4.78,,7.6,0,43.0,0
Montceaux-Ragny,27 - Bourgogne-Franche-Comté,31,29.0,12.25,,8.4,0,31.0,0
Les Aulneaux,52 - Pays de la Loire,116,14.9,14.2,19550.0,7.1,0,116.0,0
Canals,76 - Occitanie,775,11.5,105.44,22600.0,8.8,0,775.0,0
Rubrouck,32 - Hauts-de-France,936,11.7,62.9,22110.0,9.2,0,936.0,0
Baguer-Pican,53 - Bretagne,1698,12.9,108.64,20670.0,7.5,0,1698.0,0
Fatines,52 - Pays de la Loire,849,12.2,156.07,21930.0,7.9,0,849.0,0
Aucamville,76 - Occitanie,1484,12.1,64.78,22660.0,9.6,2,494.6666666666667,0
Belval,44 - Grand Est,159,13.2,23.25,21530.0,7.6,0,159.0,0
Blancey,27 - Bourgogne-Franche-Comté,69,29.3,10.25,,7.5,0,69.0,0
Geruge,27 - Bourgogne-Franche-Comté,171,12.4,39.22,22360.0,8.0,0,171.0,0
La Coucourde,84 - Auvergne-Rhône-Alpes,1144,12.9,102.6,20530.0,8.6,0,1144.0,0
Pierreval,28 - Normandie,553,10.0,142.53,23790.0,10.6,0,553.0,0
Maffrécourt,44 - Grand Est,58,29.3,8.61,,7.5,0,58.0,0
Saint-Martin-des-Tilleuls,52 - Pays de la Loire,1075,12.6,76.62,21480.0,7.7,0,1075.0,0
Vue,52 - Pays de la Loire,1626,11.1,83.34,22040.0,9.8,0,1626.0,0
Cuverville,28 - Normandie,248,12.1,40.19,21350.0,10.7,0,248.0,0
Kemplich,44 - Grand Est,169,14.2,30.51,19090.0,9.7,0,169.0,0
Tartaras,84 - Auvergne-Rhône-Alpes,877,9.6,224.3,24230.0,9.9,0,877.0,0
Rodalbe,44 - Grand Est,251,13.8,23.75,20470.0,7.9,0,251.0,0
Marlemont,44 - Grand Est,135,16.0,13.42,17910.0,7.3,0,135.0,0
Mayronnes,76 - Occitanie,36,28.9,3.04,,8.6,0,36.0,0
Courcelles-sur-Vesle,32 - Hauts-de-France,349,13.4,39.61,20600.0,8.5,0,349.0,0
Villette-sur-Aube,44 - Grand Est,259,13.6,35.58,20750.0,7.8,0,259.0,0
Aurseulles,28 - Normandie,1907,12.0,41.46,21730.0,7.7,0,1907.0,0
Dhuizel,32 - Hauts-de-France,113,14.3,16.59,19610.0,8.5,0,113.0,0
La Rue-Saint-Pierre,28 - Normandie,779,9.0,101.43,25030.0,10.6,0,779.0,0
Combourtillé,53 - Bretagne,610,13.9,65.95,20510.0,6.8,0,610.0,0
Alembon,32 - Hauts-de-France,627,13.3,69.9,20260.0,8.9,0,627.0,0
Le Cours,53 - Bretagne,671,13.1,42.93,21000.0,8.0,0,671.0,0
