code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl,dist_audio_km_v21,apl_v21
24042,Biras,75 - Nouvelle-Aquitaine,731,16.62,25560.0,10.1219492454119,0.0,0,0,45.2867755,0.639999875,8.5,31700.09035843081,False,False,70.77329417204913,8.5,70.7732941720491
24043,,75 - Nouvelle-Aquitaine,151,31.85,19320.0,8.2273049739059,,0,0,44.6218768918919,0.8735132432432433,19.6,39726.1358306226,False,False,38.52831060294955,19.6,38.52831060294954
24045,Boisse,75 - Nouvelle-Aquitaine,251,28.13,23180.0,8.54091598703153,0.0,0,0,44.71371059701492,0.6548982089552239,17.4,36957.52612665296,False,False,30.404973371969223,17.4,30.40497337196923
24046,Boisseuilh,75 - Nouvelle-Aquitaine,110,33.64,18260.0,8.51455679308836,0.0,0,0,45.28317806451613,1.1758337096774194,8.3,35821.61623338393,False,False,45.03765520050086,8.3,45.03765520050086
24048,Bonneville-et-Saint-Avit-de-Fumadières,75 - Nouvelle-Aquitaine,299,21.85,23340.0,9.86440491976831,0.0,0,0,44.884733958333335,0.0801745833333333,11.8,34097.39861913084,False,False,48.955102336539234,11.8,48.95510233653923
24050,Borrèze,75 - Nouvelle-Aquitaine,354,25.0,22500.0,8.9520357934739,0.0,0,0,44.97124653465347,1.394866534653465,8.1,33217.48622876521,False,False,80.84076973692666,8.1,80.84076973692665
24051,Bosset,75 - Nouvelle-Aquitaine,234,31.33,23550.0,9.50476750433753,0.0,0,0,44.95212605263158,0.3610744736842106,8.5,33622.21841230052,False,False,76.59142277665937,8.5,76.59142277665937
24052,Bouillac,75 - Nouvelle-Aquitaine,121,23.97,21790.0,8.54091598703153,0.0,0,0,44.76373403508772,0.9199889473684212,18.0,37333.18888298489,False,False,27.76981168460648,18.0,27.769811684606466
24053,Boulazac Isle Manoire,75 - Nouvelle-Aquitaine,10759,24.23,26190.0,10.8463850266223,0.0,4,0,45.13937984732825,0.7849286259541984,0.0,28858.53110746626,False,False,88.43084503556332,0.0,88.43084503556331
24054,Bouniagues,75 - Nouvelle-Aquitaine,578,25.05,23700.0,8.42256408219477,0.0,0,0,44.75708153846154,0.5275646153846153,11.1,33918.405539426094,False,False,61.59150831210334,11.1,61.59150831210334
