code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl
32394,,76 - Occitanie,343,28.71,26170.0,7.38908068601093,,0,0,43.48335362499999,0.4604861250000001,5.9,31816.847087421276,False,False,41.006976008220136
32395,Sainte-Mère,76 - Occitanie,200,22.97,23930.0,8.13212309239668,0.0,0,0,44.00140773584906,0.6825786792452829,6.7,31841.174463578158,False,False,55.831552648759924
32396,Saint-Mézard,76 - Occitanie,240,27.35,22720.0,8.13212309239668,0.0,0,0,44.0350602739726,0.5698128767123288,11.6,34720.29141707723,False,False,72.77958102240275
32397,,76 - Occitanie,252,30.49,23640.0,8.45478102063581,,0,0,43.432137283950624,0.4019911111111111,9.7,33926.084035453416,False,False,47.2762079604656
32398,Saint-Mont,76 - Occitanie,317,29.69,25280.0,9.11725499779164,0.0,0,0,43.64469283950616,-0.1415414814814815,4.8,31426.118797716503,False,False,44.78592882800639
32399,Saint-Orens,76 - Occitanie,82,22.22,,8.74417596583251,0.0,0,0,43.71244027777778,0.9149216666666666,4.9,30653.16025694828,False,False,52.47989410543297
32400,Saint-Orens-Pouy-Petit,76 - Occitanie,161,33.54,24790.0,8.67384699843003,0.0,0,0,43.91187602941176,0.43641117647058825,7.8,33025.29731789432,False,False,57.642743427279875
32401,Saint-Ost,76 - Occitanie,95,31.63,,8.45478102063581,0.0,0,0,43.37536083333333,0.46475416666666675,10.3,33738.671587051256,False,False,29.840111858952667
32402,Saint-Paul-de-Baïse,76 - Occitanie,108,40.74,,8.67384699843003,0.0,0,0,43.7808225,0.37521140625,6.4,33101.529288845835,False,False,50.6701385775288
32403,Saint-Pierre-d'Aubézies,76 - Occitanie,60,49.18,,8.80858256336422,0.0,0,0,43.65032256410257,0.16184256410256406,11.0,35792.49601351637,False,False,39.270028829383875
32404,Saint-Puy,76 - Occitanie,587,32.67,23890.0,8.67384699843003,0.0,0,0,43.86732009803921,0.4557719607843138,12.8,35298.46195506399,False,False,58.786493810754315
