bande10,n,resid_sd,resid_iqr
0,245.0,0.40797689448861546,0.17869478279641626
1-2,691.0,0.49385492905996614,0.3059452500880582
3-9,469.0,0.257118433949491,0.21415381605711037
10+,1363.0,0.36565512976088343,0.2478815454162886
