bande20,n,rated,reviews_median,rating
0,33.0,0.7878787878787878,7.0,4.8307692307692305
1-2,173.0,0.8959537572254336,14.0,4.683225806451613
3-9,493.0,0.924085253019678,21.0,4.766561200165174
10+,2267.0,0.9443839017870815,30.0,4.774197803681918
