type5,n,owner_share,practitioners,competitors_10km,dist_nearest_km,rated,reviews_median,reviews_q75,rating_mean,website,pop_commune,income_k,apl
integrated chain,649.0,0.057072062278020315,1.448071220893178,78.90622032340966,0.7164446808720011,0.9840621820183953,29.0,49.0,4.695691343786251,0.9899322192726804,42117.624612979256,25.744083375635682,86.41480368621828
brand network,354.0,0.6155515356592761,1.4535698421854253,45.60646122602897,1.35237866640222,0.9595549383473487,24.0,63.0,4.8578314730777485,0.9977786437409208,45587.500291950666,25.541364616992716,83.34937618178401
optician-hosted,325.0,0.4066235921876653,1.2624916737829057,72.25970816417897,0.31943828261116575,0.9565760440612577,150.0,283.0,4.689250528803802,0.9929526608349191,45380.48838678039,25.163756303908972,84.72839413590935
mutualist network,171.0,0.03390631825072586,1.336539993319458,25.116894062026258,0.47919833500346865,0.9601171664225698,27.0,60.0,4.76227239153473,0.9641563246743234,41530.258737377626,24.244540353040925,80.72302899655831
unbranded independent,1467.0,0.6365735309453018,1.286344982592971,86.88810688976481,1.232425939182522,0.9101938391432808,23.0,60.0,4.8119094181113145,0.8793036870389757,43933.473027605105,25.6606371258211,87.69827741283585
all,2966.0,0.4435879968233556,1.3391685509466484,75.10235176640697,0.9715846098236048,0.9403888647720543,28.0,70.0,4.771711955404035,0.9356075419910821,43761.10681179982,25.516272160353697,86.14980866106607
