,n,n,n,n,sd,sd,sd,sd,mean,mean,mean,mean,below45,below45,below45,below45
bande10,0,1-2,3-9,10+,0,1-2,3-9,10+,0,1-2,3-9,10+,0,1-2,3-9,10+
bin,,,,,,,,,,,,,,,,
1-4,64.0,107.0,47.0,111.0,0.696613950544884,1.1062136415901984,0.31246269646739294,0.7841606382657463,4.785937499999999,4.524299065420561,4.912785499034231,4.719828008850821,0.109375,0.1588785046728972,0.042512849876492134,0.12612089196765486
5-9,41.0,114.0,43.0,113.0,0.2891864318834561,0.3956568226754594,0.27898532537131937,0.4787353455017254,4.831707317073171,4.776315789473684,4.772037084128969,4.738007333377545,0.12195121951219512,0.17543859649122806,0.18615087759382062,0.1947067630027731
10-19,57.0,147.0,77.0,200.0,0.26805961217361784,0.28348008873784236,0.31559202590851815,0.3099579112057003,4.784210526315789,4.76530612244898,4.750626625268981,4.770511557714213,0.15789473684210525,0.12244897959183673,0.11678210825982821,0.12499515805215032
20-49,52.0,194.0,152.0,387.0,0.18720143882519932,0.21021829444906928,0.2119175898296025,0.30497126976834554,4.8269230769230775,4.818556701030928,4.796750153317307,4.7671859482500105,0.057692307692307696,0.06701030927835051,0.07234575978854717,0.11111030462779141
50+,31.0,129.0,150.0,552.0,0.09135356295810519,0.1332341437435276,0.25201972993933436,0.2742496867689461,4.9064516129032265,4.865891472868216,4.756111459043157,4.778270283195417,0.0,0.015503875968992248,0.11326045324768844,0.08332616551762012
