type5,n,prix_affiche,grille_tarifs,sante100,classe2,essai_gratuit,bilan_gratuit,rdv_en_ligne,devis,garantie_suivi
integrated chain,640.0,0.9174746447866942,0.9421235778983146,0.9973094623770887,0.9490669692083021,0.9924919932150198,0.9930555992987734,0.7922163738375203,0.9592624854424768,0.9844234085200028
brand network,350.0,0.22085822897896032,0.26424587929734555,0.9513121704667663,0.6981607914493313,0.8642213855491943,0.8647256813338925,0.5880732514051886,0.7378998481826176,0.8478367273033935
optician-hosted,322.0,0.21218810635311208,0.2487415862908939,0.47216425427900766,0.41591848843968465,0.879453969270001,0.8882420729766383,0.3464626506784972,0.6757168267186102,0.8357879974530951
mutualist network,163.0,0.007858957761459413,0.007858957761459413,0.05893412549622093,0.02555907110664654,0.7876684733853683,0.7954844566682961,0.07465204101913976,0.7917617924654996,0.061002272275552355
unbranded independent,1231.0,0.10858963079230706,0.14585304795632892,0.58694027500436,0.34289977370984914,0.5757081355635492,0.5913277301930515,0.3744904040557475,0.41117082101465063,0.5687770480521519
