bande10,n,min_reviews,sd,mean,below45
0,62.0,29.0,0.14964404522249294,4.877419354838709,0.03225806451612903
1-2,174.0,40.0,0.13852839992176957,4.864367816091954,0.017241379310344827
3-9,118.0,66.0,0.24757156938977062,4.731451117791721,0.13552301641203202
10+,341.0,87.0,0.2983331676140791,4.7472224816230915,0.11729512363451078
