bande10,n,owner_share,practitioners,competitors_10km,dist_nearest_km,rated,reviews_median,reviews_q75,rating_mean,website,pop_commune,income_k,apl
0,280.0,0.5214285714285715,1.2571428571428571,0.0,14.94892857142857,0.875,9.0,25.0,4.817142857142858,0.9214285714285714,3734.675,24.009285714285717,53.58786965639445
1-2,746.0,0.43297587131367293,1.2788203753351206,1.4557640750670242,1.5718498659517426,0.9262734584450402,16.0,37.0,4.763531114327063,0.9463806970509383,5806.581769436997,24.43103217158177,60.87733996871379
3-9,502.0,0.44003995466352314,1.3725214704568234,5.509813883160125,0.6213746353013639,0.9342550605958869,25.0,60.0,4.785541379199883,0.9502097746050099,14451.572815804157,24.353120758199566,68.77296724601291
10+,1438.0,0.4422700233377843,1.3400470335502754,113.40176753395244,0.2903308427149534,0.9478441789165197,34.0,82.0,4.76588699836434,0.929758951598433,61277.923814257876,26.149364100236927,97.3713956193083
