bande10,n,mean,sd,share_5.0,share_4.9plus
0,62.0,4.877419354838709,0.14964404522249294,0.3548387096774194,0.7096774193548387
1-2,174.0,4.864367816091954,0.13852839992176957,0.25287356321839083,0.6896551724137931
3-9,118.0,4.731451117791721,0.24757156938977062,0.14415875483746532,0.4493073849138581
10+,341.0,4.7472224816230915,0.2983331676140791,0.18769925694482234,0.5073457204649502
