site_id,siret,enseigne,raison_sociale,groupe,adresse,code_postal,code_insee,commune_rpps,secteur,n_praticiens,n_salaries,n_titulaires,nom_site,retail,type,code_insee_geo,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,nb_audioprothesistes_2026,lat,lon,dist_audio_km,apl,n_sites_commune,concurrents_10km,concurrents_20km,concurrents_30km,dist_concurrent_km,bande_concurrence,bande10,strate,poids
R10100000696949,48317830700086,AUDILAB,CAP AUDITION,Audilab,505 Rue PROSPER GARNOT,29850,29061,Gouesnou,Appareillage médical,2,2,0,AUDILAB,True,enseigne nationale,29061,Gouesnou,53 - Bretagne,6501.0,22.1,29020.0,2.0,48.44780373134328,-4.461620746268657,0.0,84.28163865049075,1,18.0,36.0,38.0,5.3,10+,10+,10+ | enseigne nationale,3.7737909516380657
R10100000700406,51031309100033,REV AUDIO,SG AUDITION,Indépendant / autre,22 Avenue DE SAINTIGNON,54400,54323,Longwy,Appareillage médical,1,0,1,REV AUDIO,True,indépendant,54323,Longwy,44 - Grand Est,15679.0,18.43,21120.0,2.0,49.52078042553192,5.767556170212767,0.0,30.95598009348605,2,3.0,5.0,6.0,0.0,3-9,3-9,3-9 | indépendant,3.77511961722488
R10100000701790,50804314800040,OPTICAL CENTER,ALFA OPTIQUE,Optical Center,106 Route DE TOULOUSE,31190,31033,Auterive,Appareillage médical,1,1,0,OPTICAL CENTER,True,enseigne nationale,31033,,76 - Occitanie,10456.0,21.4,24420.0,5.0,43.361345816326526,1.4812438775510204,0.0,89.21664883517046,4,4.0,27.0,139.0,0.0,10+,3-9,3-9 | enseigne nationale,3.772
R10100000701235,50967469300031,AUDITION JACQUEMART,ISERE AUDITION,Indépendant / autre,Avenue GENERAL DE GAULLE,26260,26301,Saint-Donat-sur-l'Herbasse,Appareillage médical,1,0,1,AUDITION JACQUEMART,True,indépendant,26301,Saint-Donat-sur-l'Herbasse,84 - Auvergne-Rhône-Alpes,4193.0,23.65,26020.0,3.0,45.12521925373135,4.98349552238806,0.0,94.59473514550008,2,7.0,24.0,77.0,0.0,10+,3-9,3-9 | indépendant,3.77511961722488
R10100000713854,81995105400017,,AUDIONET,Indépendant / autre,435 Rue GARIBALDI,76300,76681,Sotteville-lès-Rouen,Appareillage médical,1,1,0,AUDIONET,True,indépendant,76681,Sotteville-lès-Rouen,28 - Normandie,29003.0,21.72,23630.0,5.0,49.4121806060606,1.094550303030303,0.0,83.42966966291284,4,44.0,63.0,77.0,0.0,10+,10+,10+ | indépendant,3.7745901639344264
R10000004111750,92198195700019,,GROUPE AUDITION TAINE,Indépendant / autre,20 RUE TAINE,75012,75112,Paris 12e  Arrondissement,Appareillage médical,2,0,2,GROUPE AUDITION TAINE,True,indépendant,75056,Paris,,138024.0,18.3,,36.0,48.85022,2.36163,0.0,,25,621.0,1063.0,1248.0,0.0,10+,10+,10+ | indépendant,3.7745901639344264
R10100000805220,98873000800014,Manéo optique audition,sas pfmb optique audition,Indépendant / autre,22 Rue Roger Salengro,62150,62457,Houdain,Appareillage médical,1,0,1,Manéo optique audition,True,indépendant,62457,Houdain,32 - Hauts-de-France,6945.0,22.07,21170.0,1.0,50.45345820512821,2.536977435897436,0.0,46.65929408736158,1,11.0,31.0,84.0,4.5,10+,10+,10+ | indépendant,3.7745901639344264
R10100000700450,49123778000011,,ST GILDAS OPTIQUE,Indépendant / autre,Route DE PONTCHATEAU,44530,44161,Saint-Gildas-des-Bois,Appareillage médical,1,1,0,ST GILDAS OPTIQUE,True,indépendant,44161,Saint-Gildas-des-Bois,52 - Pays de la Loire,3860.0,23.59,25050.0,1.0,47.50867493333333,-2.0665564,0.0,81.76789821366732,1,3.0,15.0,44.0,7.4,10+,3-9,3-9 | indépendant,3.77511961722488
R10100000699479,47917018500017,,BOUREL AUDIO SARL,Indépendant / autre,14 Avenue GEORGES CLEMENCEAU,80300,80016,Albert,Appareillage médical,1,0,1,BOUREL AUDIO SARL,True,indépendant,80016,Albert,32 - Hauts-de-France,9521.0,24.64,22180.0,3.0,50.00383368421053,2.6496536842105263,0.0,50.71346327970695,3,2.0,5.0,37.0,0.0,10+,1-2,1-2 | indépendant,1.0
R10100000705742,52872917100017,OPTICAL CENTER,FC OPTIC,Optical Center,10 Allee DES QUATRE LE JEUNE,29000,29232,Quimper,Appareillage médical,1,1,0,OPTICAL CENTER,True,enseigne nationale,29232,Quimper,53 - Bretagne,64385.0,21.95,25490.0,19.0,47.99462077220077,-4.095380656370657,0.0,95.9488016446141,17,18.0,36.0,46.0,0.0,10+,10+,10+ | enseigne nationale,3.7737909516380657
