site_id,siret,enseigne,raison_sociale,groupe,adresse,code_postal,code_insee,commune_rpps,secteur,n_praticiens,n_salaries,n_titulaires,nom_site,retail,type,code_insee_geo,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,nb_audioprothesistes_2026,lat,lon,dist_audio_km,apl,n_sites_commune,concurrents_10km,concurrents_20km,concurrents_30km,dist_concurrent_km,bande_concurrence,alternatives_10km,memes_enseigne_10km,alternatives_20km,memes_enseigne_20km,bande_alt10,nb_audio_2022_commune,entrant_commune
R10000003532842,81456042100012,AUDITION DU SOLEIL,AUDITION DU SOLEIL,Indépendant / autre,Avenue DU DOCTEUR NOEL FRANCHINI,20090,2A004,Ajaccio,Appareillage médical,1,1,0,AUDITION DU SOLEIL,True,indépendant,2A004,Ajaccio,94 - Corse,76320.0,23.49,25880.0,11.0,41.93138803149606,8.697404212598425,0.0,61.48018192299399,11,10.0,13.0,14.0,0.0,10+,7,0,9,0,3-9,9.0,False
R10000003848348,50938589400043,AUDITION FRANCE,AUDITION FRANCE,Indépendant / autre,4 RUE DE LA TRINITE,35410,35069,Châteaugiron,Appareillage médical,1,0,1,AUDITION FRANCE,True,indépendant,35069,Châteaugiron,53 - Bretagne,10845.0,14.02,30120.0,4.0,48.04797701149426,-1.476434367816092,0.0,114.57770331821752,3,4.0,67.0,112.0,0.0,10+,4,0,39,0,3-9,3.0,False
R10000004104552,44441067400014,,MUTUELLE REAL SANIT SOCIAL PERS GR RATP,Indépendant / autre,62 QUAI DE LA RAPEE,75012,75112,Paris 12e  Arrondissement,Appareillage médical,1,1,0,MUTUELLE REAL SANIT SOCIAL PERS GR RATP,True,indépendant,75056,Paris,,138024.0,18.3,,36.0,48.85022,2.36163,0.0,,25,621.0,1063.0,1248.0,0.0,10+,414,0,671,0,10+,,False
R10000004104672,51271846100019,,ZACO,Indépendant / autre,244 BUREAUX DE LA COLLINE,92210,92064,Saint-Cloud,Appareillage médical,1,1,0,ZACO,True,indépendant,92064,Saint-Cloud,11 - Île-de-France,29855.0,18.13,45740.0,5.0,48.84221000000001,2.20753,0.0,119.0079387841477,6,211.0,960.0,1234.0,0.0,10+,135,0,620,0,10+,3.0,False
R10000004104822,52182733700028,,PRESTIGE AUDITION,Indépendant / autre,167 AV DE FLANDRE,75019,75119,Paris 19e  Arrondissement,Appareillage médical,1,1,0,PRESTIGE AUDITION,True,indépendant,75056,Paris,,178691.0,16.14,,38.0,48.85022,2.36163,0.0,,32,621.0,1063.0,1248.0,0.0,10+,414,0,671,0,10+,,False
R10000004104923,88116608600010,,VANVES AUDITION,Indépendant / autre,8 RUE JEAN BLEUZEN,92170,92075,Vanves,Appareillage médical,1,0,1,VANVES AUDITION,True,indépendant,92075,Vanves,11 - Île-de-France,28622.0,17.41,34820.0,7.0,48.820558125,2.283945,0.0,122.67935277667404,5,555.0,1020.0,1259.0,0.0,10+,351,0,653,0,10+,3.0,False
R10000004104932,91438925900013,,JES AUDIO,Indépendant / autre,54 RUE ORDENER,75018,75118,Paris 18e  Arrondissement,Appareillage médical,1,0,1,JES AUDIO,True,indépendant,75056,Paris,,183127.0,13.79,,40.0,48.85022,2.36163,0.0,,24,621.0,1063.0,1248.0,0.0,10+,414,0,671,0,10+,,False
R10000004104933,90176097500010,,START AUDITION GROUP,Indépendant / autre,2 RUE PIERRE GUIGNOIS,94200,94041,Ivry-sur-Seine,Appareillage médical,1,1,0,START AUDITION GROUP,True,indépendant,94041,Ivry-sur-Seine,11 - Île-de-France,65064.0,12.08,22210.0,8.0,48.80924,2.3879660000000005,0.0,120.96472962626044,6,556.0,1022.0,1233.0,0.0,10+,358,0,642,0,10+,2.0,False
R10000004104972,97858935600028,,KDB,Indépendant / autre,18 RUE VOLTAIRE,92250,92035,La Garenne-Colombes,Appareillage médical,1,1,0,KDB,True,indépendant,92035,La Garenne-Colombes,11 - Île-de-France,30197.0,13.77,37720.0,6.0,48.90692625,2.246325625,0.0,119.89358936867742,5,252.0,972.0,1227.0,0.0,10+,185,0,631,0,10+,3.0,False
R10000004104975,50323729900055,,EMS VISION,Indépendant / autre,48 RUE BERTHIE ALBRECHT,95210,95555,Saint-Gratien,Appareillage médical,1,0,1,EMS VISION,True,indépendant,95555,Saint-Gratien,11 - Île-de-France,21336.0,18.0,26600.0,2.0,48.9690675,2.28379375,0.0,111.27392076530566,2,232.0,898.0,1170.0,0.0,10+,188,0,598,0,10+,2.0,False
R10000004104980,89092927600024,HISTOIRE D'AUDITION,AUDITION EL,Indépendant / autre,2 B RUE DES HALLES,95210,95555,Saint-Gratien,Appareillage médical,1,0,1,HISTOIRE D'AUDITION,True,indépendant,95555,Saint-Gratien,11 - Île-de-France,21336.0,18.0,26600.0,2.0,48.9690675,2.28379375,0.0,111.27392076530566,2,232.0,898.0,1170.0,0.0,10+,188,0,598,0,10+,2.0,False
R10000004104981,91447032300025,EYESHOW,EYES OPTIC ET AUDITION,Indépendant / autre,5 RUE TONY GARNIER,92100,92012,Boulogne-Billancourt,Appareillage médical,1,0,1,EYESHOW,True,indépendant,92012,Boulogne-Billancourt,11 - Île-de-France,119019.0,17.44,40000.0,17.0,48.8369288,2.2380624,0.0,121.67180218414236,15,575.0,989.0,1246.0,0.0,10+,369,0,638,0,10+,11.0,False
R10000004104987,95084125400010,,K AUDITION PARIS,Indépendant / autre,152 RUE DU CHEMIN VERT,75011,75111,Paris 11e  Arrondissement,Appareillage médical,1,1,0,K AUDITION PARIS,True,indépendant,75056,Paris,,138170.0,16.37,,28.0,48.85022,2.36163,0.0,,20,621.0,1063.0,1248.0,0.0,10+,414,0,671,0,10+,,False
R10000004105021,98452056900018,,SBSM,Indépendant / autre,26 RUE GAMBETTA,78800,78311,Houilles,Appareillage médical,1,0,1,SBSM,True,indépendant,78311,Houilles,11 - Île-de-France,33983.0,14.61,34450.0,6.0,48.92540291666666,2.1875637500000003,0.0,110.85790616384934,5,212.0,880.0,1176.0,0.0,10+,152,0,583,0,10+,3.0,False
R10000004105025,97977860200024,,AUDIOCIBEL,Indépendant / autre,20 AV DE LA RESISTANCE,93340,93062,Le Raincy,Appareillage médical,1,0,1,AUDIOCIBEL,True,indépendant,93062,Le Raincy,11 - Île-de-France,14735.0,16.91,32550.0,12.0,48.8956415,2.5184885,0.0,105.63238253109854,8,187.0,850.0,1150.0,0.0,10+,128,0,558,0,10+,5.0,False
R10000004105026,92279329400021,HCA AUDITION,HCA AUDITION,Indépendant / autre,33 RUE AMELOT,75011,75111,Paris 11e  Arrondissement,Appareillage médical,1,0,1,HCA AUDITION,True,indépendant,75056,Paris,,138170.0,16.37,,28.0,48.85022,2.36163,0.0,,20,621.0,1063.0,1248.0,0.0,10+,414,0,671,0,10+,,False
R10000004105028,84018040000037,,MK OPTIQUE,Indépendant / autre,1 RUE DU CAPITAINE GUYNEMER,92270,92009,Bois-Colombes,Appareillage médical,1,0,1,MK OPTIQUE,True,indépendant,92009,Bois-Colombes,11 - Île-de-France,28909.0,13.8,37240.0,3.0,48.91446454545455,2.266011363636364,0.0,119.94574803637276,3,588.0,976.0,1232.0,0.0,10+,397,0,629,0,10+,3.0,False
R10000004105038,98131931200014,,JAE6,Indépendant / autre,2 RUE VAVIN,75006,75106,Paris 6e  Arrondissement,Appareillage médical,1,0,1,JAE6,True,indépendant,75056,Paris,,40389.0,24.99,,12.0,48.85022,2.36163,0.0,,9,621.0,1063.0,1248.0,0.0,10+,414,0,671,0,10+,,False
R10000004105039,30168979000055,,PRODITION,Indépendant / autre,17 AV DES LOUVRESSES,92230,92036,Gennevilliers,Appareillage médical,1,1,0,PRODITION,True,indépendant,92036,Gennevilliers,11 - Île-de-France,50979.0,13.0,20160.0,16.0,48.93300930232558,2.289319069767442,0.0,117.64274550593989,10,233.0,969.0,1217.0,0.0,10+,188,0,626,0,10+,1.0,False
R10000004105040,82408568200014,LE MONOCLE,SOCIETE SKG,Indépendant / autre,86 RUE LA FAYETTE,75009,75109,Paris 9e  Arrondissement,Appareillage médical,1,1,0,LE MONOCLE,True,indépendant,75056,Paris,,57271.0,13.6,,18.0,48.85022,2.36163,0.0,,16,621.0,1063.0,1248.0,0.0,10+,414,0,671,0,10+,,False
R10000004105043,97789765100021,,YADE AUDITION,Indépendant / autre,42 RUE JEAN JAURES,94500,94017,Champigny-sur-Marne,Appareillage médical,1,0,1,YADE AUDITION,True,indépendant,94017,Champigny-sur-Marne,11 - Île-de-France,78072.0,14.08,23830.0,9.0,48.81798641509434,2.5210526415094345,0.0,106.5457125200404,8,188.0,822.0,1180.0,0.0,10+,127,0,517,0,10+,6.0,False
R10000004105173,79766720100041,,GS AUDIO,Indépendant / autre,81 RUE D HAUTVIE,61600,61168,La Ferté Macé,Appareillage médical,1,0,1,GS AUDIO,True,indépendant,61168,La Ferté Macé,28 - Normandie,5071.0,32.13,22570.0,4.0,48.57219744360904,-0.3624893233082707,0.0,41.47507711511939,3,2.0,2.0,10.0,0.0,10+,2,0,2,0,1-2,3.0,False
R10000004105215,94947332600013,AUDIPLUS,AUDIPLUS AVALLON,Indépendant / autre,11 GR ARISTIDE BRIAND,89200,89025,Avallon,Appareillage médical,1,1,0,AUDIPLUS,True,indépendant,89025,Avallon,27 - Bourgogne-Franche-Comté,6305.0,29.19,21800.0,8.0,47.48049189873417,3.919169620253165,0.0,95.1847875304204,5,4.0,4.0,4.0,0.0,3-9,4,0,4,0,3-9,3.0,False
R10000004105217,84240672000016,KRIS AUDITION,YMCA,Indépendant / autre,7 RUE DU VAST,14120,14437,Mondeville,Appareillage médical,1,0,1,KRIS AUDITION,True,indépendant,14437,Mondeville,28 - Normandie,10331.0,21.85,24250.0,5.0,49.1738496,-0.3114827999999999,0.0,76.0462431512838,6,33.0,39.0,47.0,0.0,10+,25,0,29,0,10+,3.0,False
R10000004105220,43447849100054,,FRANCE AUDITION,Indépendant / autre,5 RUE DES AMERICAINS,57500,57606,Saint-Avold,Appareillage médical,2,1,0,FRANCE AUDITION,True,indépendant,57606,Saint-Avold,44 - Grand Est,14755.0,23.74,23590.0,7.0,49.12998975308642,6.7131701234567895,0.0,69.5398936539003,6,13.0,22.0,33.0,0.0,10+,12,0,19,0,10+,4.0,False
R10000004105224,97776709400013,,OPTIQUE AUDITION NADLER,Indépendant / autre,45 GRANDE RUE,25400,25031,Audincourt,Appareillage médical,1,1,0,OPTIQUE AUDITION NADLER,True,indépendant,25031,Audincourt,27 - Bourgogne-Franche-Comté,14071.0,21.38,20850.0,4.0,47.48080872727274,6.851106545454544,0.0,74.79204556464346,3,19.0,36.0,38.0,0.0,10+,13,0,22,0,10+,3.0,False
R10000004105230,97776709400021,,OPTIQUE AUDITION NADLER,Indépendant / autre,123 RUE DU GEN LECLERC,25230,25539,Seloncourt,Appareillage médical,1,1,0,OPTIQUE AUDITION NADLER,True,indépendant,25539,Seloncourt,27 - Bourgogne-Franche-Comté,5854.0,25.36,27040.0,2.0,47.45616413043478,6.8649317391304345,0.0,66.9268205454395,2,19.0,28.0,38.0,0.0,10+,13,0,17,0,10+,2.0,False
R10000004105243,88160452400010,,AVE COSNE,Indépendant / autre,11 B RUE GEN DE GAULLE,58200,58086,Cosne-Cours-sur-Loire,Appareillage médical,1,0,1,AVE COSNE,True,indépendant,58086,Cosne-Cours-sur-Loire,27 - Bourgogne-Franche-Comté,9733.0,35.72,23560.0,6.0,47.41463577777778,2.95181925925926,0.0,52.40432865257488,5,4.0,4.0,8.0,0.0,3-9,4,0,4,0,3-9,3.0,False
R10000004105250,84095768200080,BENOIT AUDITION,AUDIOPROTHESE MACREZ,Benoit Audition,29 RUE DU GENERAL DE GAULLE,76680,76648,Saint-Saëns,Appareillage médical,1,1,0,BENOIT AUDITION,True,enseigne nationale,76648,Saint-Saëns,28 - Normandie,2298.0,26.27,22830.0,1.0,49.67076405797102,1.2763002898550726,0.0,71.33914951929108,1,0.0,8.0,57.0,10.7,10+,0,0,8,0,0,0.0,True
R10000004105252,97926785300039,SUP AUDIO,SUPAUDIO,Indépendant / autre,26 AV DE THIES,14000,14118,Caen,Appareillage médical,1,1,0,SUP AUDIO,True,indépendant,14118,Caen,28 - Normandie,109400.0,18.86,23650.0,25.0,49.182876075949366,-0.3703744303797469,0.0,82.05098105072192,16,33.0,39.0,53.0,0.0,10+,25,0,29,0,10+,16.0,False
R10000004105254,98490213000017,,FRANCOIS AUDITION SAINT-PIERRE,Indépendant / autre,5 RUE HIPOLYTTE DE TOCQUEVILLE,50330,50539,Saint-Pierre-Église,Appareillage médical,1,1,0,FRANCOIS AUDITION SAINT-PIERRE,True,indépendant,50539,Saint-Pierre-Église,28 - Normandie,1765.0,27.84,23780.0,1.0,49.67019611111112,-1.396725925925926,0.0,49.7233790971899,1,0.0,16.0,17.0,10.5,10+,0,0,14,0,0,0.0,True
R10000004105293,31808311003718,,AMPLIFON FRANCE,Amplifon,64 PL DES HEROS,62000,62041,Arras,Appareillage médical,1,1,0,AMPLIFON FRANCE,True,enseigne nationale,62041,Arras,32 - Hauts-de-France,42875.0,17.35,22410.0,16.0,50.28926063157894,2.765727894736842,0.0,47.42414179744365,12,14.0,34.0,90.0,0.0,10+,14,1,27,2,10+,11.0,False
R10000004105402,51026706500041,,CORRECTION AUDITIVE ALSACE,Indépendant / autre,4 RUE DU GENERAL DE GAULLE,67205,67343,Oberhausbergen,Appareillage médical,1,1,0,CORRECTION AUDITIVE ALSACE,True,indépendant,67343,Oberhausbergen,44 - Grand Est,5857.0,24.08,29280.0,2.0,48.60583404761905,7.683669761904761,0.0,111.20454797561172,2,58.0,79.0,107.0,0.0,10+,39,0,52,0,10+,2.0,False
R10000004105447,98362946000012,SONANCE AUDITION,LDA NOGENT SUR SEINE,Sonance Audition,65 RUE ANDRE BEURY,10000,10387,Troyes,Appareillage médical,1,1,0,SONANCE AUDITION,True,enseigne nationale,10387,Troyes,44 - Grand Est,62088.0,18.74,20210.0,22.0,48.29559655737705,4.078020655737705,0.0,105.41090461936123,15,29.0,29.0,33.0,0.0,10+,21,2,21,2,10+,9.0,False
R10000004105455,91334480000010,ENTENDRE,AUDITION DE LA PLAINE,Entendre,11 RUE JULES FERRY,88110,88372,Raon-l'Étape,Appareillage médical,2,1,1,ENTENDRE,True,enseigne nationale,88372,Raon-l'Étape,44 - Grand Est,5886.0,26.15,21820.0,2.0,48.40603306818182,6.862065795454546,0.0,39.90326594524112,1,0.0,7.0,13.0,13.4,10+,0,0,6,0,0,0.0,True
R10000004105502,79127433500029,AUDIORIS,AUDIORIS GUERANDE,Indépendant / autre,3 BD DU GAL DE GAULLE,44350,44069,Guérande,Appareillage médical,2,0,2,AUDIORIS,True,indépendant,44069,Guérande,52 - Pays de la Loire,16804.0,27.33,28630.0,10.0,47.33805426229508,-2.406948306010929,0.0,83.48910217704994,8,14.0,40.0,55.0,0.0,10+,14,0,30,0,10+,6.0,False
R10000004105514,89796614900030,CARRIOU AUDITION MURS ERIGNE,CARRIOU AUDITION,Indépendant / autre,CENTRE COMMERCIAL RIVE SUD,49610,49223,Mûrs-Erigné,Appareillage médical,1,0,1,CARRIOU AUDITION MURS ERIGNE,True,indépendant,49223,Mûrs-Erigné,52 - Pays de la Loire,6408.0,22.95,27750.0,4.0,47.39326375,-0.5541512499999999,0.0,98.43619075554642,4,37.0,53.0,70.0,0.0,10+,26,0,39,0,10+,2.0,False
R10000004105516,82873266900019,,DONVAL ACOUSTIQUE,Indépendant / autre,18 BD DES ROCHERS,35500,35360,Vitré,Appareillage médical,1,1,0,DONVAL ACOUSTIQUE,True,indépendant,35360,Vitré,53 - Bretagne,19365.0,22.58,26280.0,8.0,48.11265557692308,-1.1948997115384614,0.0,96.69245719741096,8,8.0,14.0,56.0,0.0,10+,8,0,14,0,3-9,5.0,False
R10000004105570,49873401100030,,EUPHONIA,Indépendant / autre,RESIDENCE L ORATOIRE,29260,29055,Le Folgoët,Appareillage médical,1,1,0,EUPHONIA,True,indépendant,29055,Le Folgoët,53 - Bretagne,3315.0,25.54,26330.0,3.0,48.56697298245614,-4.351251754385965,0.0,67.57860422533948,2,4.0,14.0,44.0,0.0,10+,4,0,11,0,3-9,1.0,False
R10000004105608,53006219900027,,IMG OPTIC,Indépendant / autre,22 PL JEAN NORMAND,35108,35076,Chavagne,Appareillage médical,1,1,0,IMG OPTIC,True,indépendant,35076,Chavagne,53 - Bretagne,4709.0,17.39,27380.0,1.0,48.056913684210535,-1.7841599999999993,0.0,137.1777788531389,1,47.0,87.0,110.0,4.4,10+,28,0,46,0,10+,0.0,True
R10000004105617,50133186200067,MODERNE AUDITION,MODERNE AUDITION SAS,Indépendant / autre,29 PL DE L'EGLISE,56250,56053,Elven,Appareillage médical,1,1,0,MODERNE AUDITION,True,indépendant,56053,Elven,53 - Bretagne,6651.0,17.42,26170.0,1.0,47.73237333333333,-2.594496326530612,0.0,97.2389598117258,1,0.0,33.0,58.0,11.8,10+,0,0,24,0,0,0.0,True
R10000004105632,80137674000016,ENTENDRE,BARON,Entendre,6 B PL DU MARCHE,17400,17347,Saint-Jean-d'Angély,Appareillage médical,1,0,1,ENTENDRE,True,enseigne nationale,17347,Saint-Jean-d'Angély,75 - Nouvelle-Aquitaine,6784.0,35.21,22200.0,3.0,45.94043659574468,-0.5194129787234043,0.0,37.61963678044869,3,2.0,3.0,20.0,0.0,10+,2,0,3,1,1-2,1.0,False
R10000004105664,39004840300013,,INSTITUT D'AUDIOPROTHESE DE BORDEAUX,Indépendant / autre,14 PL FERNAND LAFARGUE,33000,33063,Bordeaux,Appareillage médical,1,1,0,INSTITUT D'AUDIOPROTHESE DE BORDEAUX,True,indépendant,33063,Bordeaux,75 - Nouvelle-Aquitaine,267991.0,14.83,27590.0,56.0,44.85872351851853,-0.5882175,0.0,131.97340113647425,38,99.0,147.0,171.0,0.0,10+,56,0,85,0,10+,29.0,False
R10000004105702,43199108200014,,KENDALCH,Indépendant / autre,29 RUE JUDAIQUE,33000,33063,Bordeaux,Appareillage médical,1,1,0,KENDALCH,True,indépendant,33063,Bordeaux,75 - Nouvelle-Aquitaine,267991.0,14.83,27590.0,56.0,44.85872351851853,-0.5882175,0.0,131.97340113647425,38,99.0,147.0,171.0,0.0,10+,56,0,85,0,10+,29.0,False
R10000004105720,31149232600054,,ETABLISSEMENTS LASCAUX,Indépendant / autre,107 RUE DE SOLIGNAC,87000,87085,Limoges,Appareillage médical,1,1,0,ETABLISSEMENTS LASCAUX,True,indépendant,87085,Limoges,75 - Nouvelle-Aquitaine,129937.0,22.66,22690.0,27.0,45.859210114503824,1.250904809160305,0.0,70.319854295308,18,21.0,25.0,32.0,0.0,10+,17,0,17,0,10+,12.0,False
R10000004105727,45338884500068,VOTRE AUDIOPROTHESISTE EMMANUELLE E,BIESCAS AUDITION,Indépendant / autre,22 PL VALENTIN ABEILLE,31210,31390,Montréjeau,Appareillage médical,1,1,0,VOTRE AUDIOPROTHESISTE EMMANUELLE E,True,indépendant,31390,Montréjeau,76 - Occitanie,2648.0,34.61,20400.0,2.0,43.08861195121951,0.5590753658536586,0.0,92.94713197525148,2,3.0,15.0,18.0,0.0,10+,3,0,13,0,3-9,1.0,False
R10000004105794,94951758500038,,ENTZUN,Indépendant / autre,BD JACQUES DUCLOS,40220,40312,Tarnos,Appareillage médical,1,1,0,ENTZUN,True,indépendant,40312,Tarnos,75 - Nouvelle-Aquitaine,12957.0,23.07,26640.0,2.0,43.52674738636364,-1.4544765909090909,0.0,101.74276638827963,2,29.0,54.0,68.0,0.0,10+,20,0,31,0,10+,2.0,False
R10000004105800,53159443000054,,CZ'OPTIC,Indépendant / autre,2 RUE DE LA MANOQUE,31330,31232,Grenade,Appareillage médical,1,1,0,CZ'OPTIC,True,indépendant,31232,Grenade,76 - Occitanie,9062.0,18.42,26840.0,6.0,43.76565455357143,1.2743269642857145,0.0,96.93388317476996,5,8.0,44.0,169.0,0.0,10+,8,0,39,0,3-9,2.0,False
R10000004105807,51375004200600,,CLERMONT DISTRIBUTION,Indépendant / autre,10 RUE MARYSE BASTIE,63800,63124,Cournon-d'Auvergne,Appareillage médical,1,1,0,CLERMONT DISTRIBUTION,True,indépendant,63124,Cournon-d'Auvergne,84 - Auvergne-Rhône-Alpes,19951.0,25.91,26840.0,11.0,45.745090869565225,3.1936437681159418,0.0,96.42449688012822,8,29.0,47.0,59.0,0.0,10+,19,0,28,0,10+,5.0,False
R10000004105829,92272990000014,,MG AUDITION,Indépendant / autre,3 ALL DE LA VIALLE,31820,31417,Pibrac,Appareillage médical,1,1,0,MG AUDITION,True,indépendant,31417,Pibrac,76 - Occitanie,8977.0,20.76,34480.0,1.0,43.62239845070422,1.2671960563380278,0.0,112.32369134517576,1,30.0,142.0,172.0,4.0,10+,26,0,99,0,10+,0.0,True
R10000004105912,50451964600039,LE COLLECTIF DES LUNETIERS OPTIQUE,IDA OPTIC,Indépendant / autre,15 B RUE DES SAYES,38080,38193,L'Isle-d'Abeau,Appareillage médical,3,2,1,LE COLLECTIF DES LUNETIERS OPTIQUE,True,indépendant,38193,L'Isle-d'Abeau,84 - Auvergne-Rhône-Alpes,17515.0,8.48,23940.0,7.0,45.61885420000001,5.2157732,0.0,85.54178157442016,4,17.0,40.0,113.0,0.0,10+,14,0,26,0,10+,3.0,False
R10000004105930,40028729800063,,CENTRE PIQUET AUDITION,Indépendant / autre,31 RTE DE TERNAY,69360,69272,Communay,Appareillage médical,1,1,0,CENTRE PIQUET AUDITION,True,indépendant,69272,Communay,84 - Auvergne-Rhône-Alpes,4540.0,19.73,31860.0,2.0,45.595174186046506,4.8377232558139545,0.0,99.4974749795764,2,22.0,188.0,272.0,0.0,10+,20,0,110,0,10+,3.0,False
R10000004105935,53747179900016,,AUDITION BONNEUIL,Indépendant / autre,5 AV MAL DE LATTRE DE TASSIGNY,69500,69029,Bron,Appareillage médical,3,2,1,AUDITION BONNEUIL,True,indépendant,69029,Bron,84 - Auvergne-Rhône-Alpes,42982.0,17.88,24530.0,17.0,45.73582037037037,4.912294444444445,0.0,123.90261979646178,9,161.0,239.0,287.0,0.0,10+,89,0,133,0,10+,6.0,False
R10000004105964,98227182700015,,AGC AUDIITON,Indépendant / autre,1795 RTE DE MONTELIMAR,26230,26146,Grignan,Appareillage médical,1,0,1,AGC AUDIITON,True,indépendant,26146,Grignan,84 - Auvergne-Rhône-Alpes,1596.0,31.63,27290.0,1.0,44.43495039215688,4.9064830392156855,0.0,60.69700987568345,1,2.0,19.0,31.0,9.8,10+,2,0,15,0,1-2,0.0,True
R10000004105976,49828583200065,,AUDITION FRANCOIS BERARD,Indépendant / autre,62 ALL DES VERGERS,07160,07064,Le Cheylard,Appareillage médical,1,0,1,AUDITION FRANCOIS BERARD,True,indépendant,07064,Le Cheylard,84 - Auvergne-Rhône-Alpes,2803.0,37.66,24550.0,2.0,44.91106507692307,4.422755230769231,0.0,31.48793780363453,2,1.0,3.0,9.0,0.0,3-9,1,0,3,0,1-2,1.0,False
R10000004105977,97835678000012,ACUITIS,SONOVIS,Acuitis,376 RUE DE GENEVE,73100,73008,Aix-les-Bains,Appareillage médical,1,1,0,ACUITIS,True,enseigne nationale,73008,Aix-les-Bains,84 - Auvergne-Rhône-Alpes,32406.0,27.13,27690.0,11.0,45.69674754098361,5.91149,0.0,99.6083616296835,7,12.0,42.0,70.0,0.0,10+,10,0,27,0,10+,4.0,False
R10000004105992,77576184400890,ECOUTER VOIR AUDITION MUTUALISTE,OXANCE,Écouter Voir / mutualiste,6 PL DU VINGT TROIS AOUT 1944,38300,38053,Bourgoin-Jallieu,Appareillage médical,1,1,0,ECOUTER VOIR AUDITION MUTUALISTE,True,mutualiste,38053,Bourgoin-Jallieu,84 - Auvergne-Rhône-Alpes,30151.0,18.76,23580.0,13.0,45.596141384615386,5.281461538461539,0.0,76.87210770801892,9,14.0,34.0,72.0,0.0,10+,13,0,23,0,10+,9.0,False
R10000004106019,50451964600021,KRYS AUDITION,IDA OPTIC,Krys Audition,76 RUE DE LA REPUBLIQUE,38440,38399,Saint-Jean-de-Bournay,Appareillage médical,1,0,1,KRYS AUDITION,True,enseigne nationale,38399,Saint-Jean-de-Bournay,84 - Auvergne-Rhône-Alpes,4843.0,27.44,26600.0,2.0,45.49511383561644,5.14282,0.0,60.21002283596376,2,1.0,29.0,73.0,0.0,10+,1,0,23,1,1-2,2.0,False
R10000004106031,80870535400021,AUDITION CONSEIL GROUPE JEAN ROUQUET,LABORATOIRE DE CORRECTION AUDITIVE LYON 9,Audition Conseil,36 RUE ROGER SALENGRO,69009,69389,Lyon 9e  Arrondissement,Appareillage médical,2,1,1,AUDITION CONSEIL GROUPE JEAN ROUQUET,True,enseigne nationale,69123,Lyon,,53567.0,14.38,,8.0,45.76332,4.82758,0.0,,7,173.0,241.0,294.0,0.0,10+,100,12,131,17,10+,,False
R10000004106037,97900183100028,,ILIK 21,Indépendant / autre,214 AV JEAN JAURES,69007,69387,Lyon 7e  Arrondissement,Appareillage médical,2,1,1,ILIK 21,True,indépendant,69123,Lyon,,88326.0,11.31,,14.0,45.76332,4.82758,0.0,,11,173.0,241.0,294.0,0.0,10+,99,0,130,0,10+,,False
R10000004106041,97823465600020,KRYS AUDIO,E B AUDITION,Krys Audition,RTE NATIONALE 7,38150,38468,Salaise-sur-Sanne,Appareillage médical,2,1,1,KRYS AUDIO,True,enseigne nationale,38468,Salaise-sur-Sanne,84 - Auvergne-Rhône-Alpes,4606.0,22.34,25190.0,7.0,45.34344319148936,4.805489361702128,0.0,52.77743181816169,5,7.0,20.0,46.0,0.0,10+,7,1,17,1,3-9,3.0,False
R10000004106047,79173364500091,ALAIN AFFLELOU ACOUSTICIEN,GNB AUDIO 7,Alain Afflelou Acousticien,1084 RUE CLAUDE TERRASSE,69210,69010,L'Arbresle,Appareillage médical,1,1,0,ALAIN AFFLELOU ACOUSTICIEN,True,enseigne nationale,69010,L'Arbresle,84 - Auvergne-Rhône-Alpes,6537.0,18.27,26420.0,7.0,45.834184571428565,4.608447142857144,0.0,93.88266119148416,5,9.0,171.0,244.0,0.0,10+,7,0,94,6,3-9,2.0,False
R10000004106051,44149672600122,SONANCE AUDITION,AUDITION C A M,Sonance Audition,2 D RUE DE LA DAME NOIRE,42330,42222,Saint-Galmier,Appareillage médical,1,0,1,SONANCE AUDITION,True,enseigne nationale,42222,Saint-Galmier,84 - Auvergne-Rhône-Alpes,5829.0,25.36,30100.0,2.0,45.60218845070422,4.316097042253522,0.0,94.2585741375279,2,10.0,56.0,78.0,0.0,10+,9,0,40,2,3-9,1.0,False
R10000004106057,97894522800010,,AUDITION HEYRIEUX,Indépendant / autre,47 AV DU GENERAL LECLERC,38540,38189,Heyrieux,Appareillage médical,1,1,0,AUDITION HEYRIEUX,True,indépendant,38189,Heyrieux,84 - Auvergne-Rhône-Alpes,4956.0,21.8,30100.0,4.0,45.62999243243243,5.058461081081082,0.0,98.32648120086908,3,15.0,95.0,268.0,0.0,10+,10,0,55,0,10+,1.0,False
R10000004106136,42899062600015,,OPTIQUE DU MISTRAL,Indépendant / autre,3 PL DES PRECHEURS,13100,13001,Aix-en-Provence,Appareillage médical,2,1,1,OPTIQUE DU MISTRAL,True,indépendant,13001,Aix-en-Provence,93 - Provence-Alpes-Côte d'Azur,149695.0,19.71,29010.0,32.0,43.52418685920578,5.3873223104693135,0.0,118.713650686372,20,29.0,79.0,282.0,0.0,10+,16,0,45,0,10+,12.0,False
R10000004106201,50158375100018,,DECIBELLIA,Indépendant / autre,15 GRANDE RUE,95290,95313,L'Isle-Adam,Appareillage médical,1,0,1,DECIBELLIA,True,indépendant,95313,L'Isle-Adam,11 - Île-de-France,12493.0,26.07,32270.0,5.0,49.10566428571428,2.237241224489796,0.0,64.35242792012895,4,15.0,197.0,836.0,0.0,10+,13,0,160,0,10+,1.0,False
