site_id,siret,enseigne,raison_sociale,groupe,adresse,code_postal,code_insee,commune_rpps,secteur,n_praticiens,n_salaries,n_titulaires,nom_site,retail,type,code_insee_geo,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,nb_audioprothesistes_2026,lat,lon,dist_audio_km,apl,n_sites_commune,concurrents_10km,concurrents_20km,concurrents_30km,dist_concurrent_km,bande_concurrence,alternatives_10km,memes_enseigne_10km,alternatives_20km,memes_enseigne_20km,bande_alt10,nb_audio_2022_commune,entrant_commune
R10100000704991,52445294300011,OPTICAL CENTER,KAREN OPTIC,Optical Center,21 Avenue DU MARECHAL FOCH,77500,77108,Chelles,Appareillage médical,1,0,1,OPTICAL CENTER,True,enseigne nationale,77108,Chelles,11 - Île-de-France,54620.0,16.33,26290.0,15.0,48.8820821875,2.59378359375,0.0,88.81792319948833,8,116.0,693.0,1067.0,0.0,10+,77,5,448,39,10+,5.0,False
R10100000704994,52445847800012,,PRISMA,Indépendant / autre,10 Rue DES LAVANDINS,34980,34255,Saint-Gély-du-Fesc,Appareillage médical,1,0,1,PRISMA,True,indépendant,34255,Saint-Gély-du-Fesc,76 - Occitanie,10472.0,24.92,33420.0,6.0,43.68850317460317,3.809545238095239,0.0,110.01180347485246,6,60.0,91.0,129.0,0.0,10+,41,0,61,0,10+,3.0,False
R10100000705001,52449014100040,ENTENDRE,COTE AUDITION,Entendre,78 Rue DU COLOMBIER,38540,38189,Heyrieux,Appareillage médical,2,1,1,ENTENDRE,True,enseigne nationale,38189,Heyrieux,84 - Auvergne-Rhône-Alpes,4956.0,21.8,30100.0,4.0,45.62999243243243,5.058461081081082,0.0,98.32648120086908,3,15.0,95.0,268.0,0.0,10+,11,1,56,1,10+,1.0,False
R10100000705032,52464514000012,ATOL,DISTRE OPTIQUE,Atol,ZONE INDUSTRIELLE,49400,49328,Saumur,Appareillage médical,1,1,0,ATOL,True,enseigne nationale,49328,Saumur,52 - Pays de la Loire,26241.0,26.8,23990.0,12.0,47.259730397351,-0.0765308609271523,0.0,81.18757781775005,7,6.0,13.0,20.0,0.0,10+,6,0,9,0,3-9,8.0,False
R10100000705087,53379907800019,TERRE D'AUDITION,TERRE D AUDITION,Indépendant / autre,8 Boulevard PATRICE DUMAINE DE LA JOSSERIE,35740,35210,Pacé,Appareillage médical,1,0,1,TERRE D'AUDITION,True,indépendant,35210,Pacé,53 - Bretagne,11703.0,16.26,32050.0,4.0,48.15293975206611,-1.7791152892561983,0.0,137.35022783846807,3,52.0,91.0,106.0,0.0,10+,32,0,48,0,10+,1.0,False
R10100000705089,53380718600010,AUDITION CONSEIL,GREAT PROJECTS 66,Audition Conseil,Rue PASCAL-MARIE AGASSE,66000,66136,Perpignan,Appareillage médical,2,2,0,AUDITION CONSEIL,True,enseigne nationale,66136,Perpignan,76 - Occitanie,121616.0,22.42,19110.0,30.0,42.69836662650602,2.8964743373493977,0.0,98.15510326464432,26,50.0,64.0,83.0,0.0,10+,36,1,44,1,10+,17.0,False
R10100000705090,53380718600028,AUDITION CONSEIL,GREAT PROJECTS 66,Audition Conseil,EL MOLINAS,66330,66028,Cabestany,Appareillage médical,2,2,0,AUDITION CONSEIL,True,enseigne nationale,66028,Cabestany,76 - Occitanie,10465.0,28.21,26360.0,12.0,42.67631266666666,2.946169111111112,0.0,106.6246451835984,9,49.0,75.0,84.0,0.0,10+,37,1,50,1,10+,6.0,False
R10100000705091,53380718600036,,GREAT PROJECTS 66,Indépendant / autre,16 CARRER D'EN CAVAILLES,66160,66024,Le Boulou,Appareillage médical,1,0,1,GREAT PROJECTS 66,True,indépendant,66024,Le Boulou,76 - Occitanie,5487.0,33.29,22270.0,4.0,42.52365553571428,2.83654375,0.0,69.19629471623242,4,7.0,35.0,78.0,0.0,10+,6,0,21,0,3-9,2.0,False
R10100000705120,52935748500026,OPTICAL CENTER,SAS JUROMA,Optical Center,9 Rue SAINT CHARLES,72000,72181,Le Mans,Appareillage médical,1,1,0,OPTICAL CENTER,True,enseigne nationale,72181,Le Mans,52 - Pays de la Loire,146249.0,22.04,23610.0,22.0,47.99117880000001,0.1981108,0.0,60.86134045750823,17,26.0,30.0,35.0,0.0,10+,16,3,18,3,10+,19.0,False
R10100000705121,52935748500034,,SAS JUROMA,Indépendant / autre,1 Boulevard PARC D'ACTIVITES DES HUNAUDIERES,72230,72260,Ruaudin,Appareillage médical,1,1,0,SAS JUROMA,True,indépendant,72260,Ruaudin,52 - Pays de la Loire,3481.0,26.69,27920.0,2.0,47.942075263157896,0.2724233333333333,0.0,54.07459332315455,2,20.0,31.0,31.0,0.0,10+,13,0,17,0,10+,2.0,False
