rpps_structure_id,code_insee,code_insee_geo,commune,region,retail,type5,brand,owner_on_site,practitioners_topcoded_4,concurrents_10km,concurrents_20km,concurrents_30km,alternatives_10km,dist_concurrent_km,n_sites_commune,pop_10km,pop65_10km,demand65_per_site,apl_v21,entrant_commune,strate,poids,web_ok,prix_affiche,grille_tarifs,sante100,classe2,essai_gratuit,bilan_gratuit,rdv_en_ligne,devis,garantie_suivi
R10100000771719,93050,93050,Neuilly-sur-Marne,11 - Île-de-France,True,unbranded independent,,1,1,181.0,816.0,1152.0,116.0,0.0,2,1915681,281541.9551,1546.9338192307691,105.3072482160936,False,,,,,,,,,,,,
R10100000771721,38185,38185,Grenoble,84 - Auvergne-Rhône-Alpes,True,unbranded independent,,1,1,43.0,61.0,78.0,28.0,0.0,17,411006,75286.1953,1711.0498931818183,102.8217833019787,False,,,,,,,,,,,,
R10100000771784,92002,92002,Antony,11 - Île-de-France,True,unbranded independent,,0,1,151.0,874.0,1200.0,99.0,0.0,9,1588268,246793.8826,1623.6439644736845,106.8109352132848,False,10+ | indépendant,3.7745901639344255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
R10100000772239,80021,80021,Amiens,32 - Hauts-de-France,True,mutualist network,Écouter Voir / mutualiste,0,2,25.0,32.0,44.0,22.0,0.0,18,185741,32973.8334,1268.2243615384614,100.79425361665228,False,10+ | mutualiste,3.779220779220779,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
R10100000772298,62083,62083,Barlin,32 - Hauts-de-France,True,integrated chain,Benoit Audition,0,1,20.0,48.0,92.0,17.0,0.0,2,190642,36219.1084,1724.7194476190475,54.49500507881643,True,,,,,,,,,,,,
R10100000772466,21663,21663,Venarey-les-Laumes,27 - Bourgogne-Franche-Comté,True,unbranded independent,,1,1,1.0,2.0,2.0,1.0,9.6,1,12842,3532.6721,1766.33605,59.21902176439723,True,1-2 | indépendant,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
R10100000772480,94028,94028,Créteil,11 - Île-de-France,True,integrated chain,Amplifon,0,1,187.0,904.0,1187.0,122.0,0.0,13,2104980,329702.8172,1753.738389361702,109.96584573753726,False,,,,,,,,,,,,
R10100000772485,65452,65452,Trie-sur-Baïse,76 - Occitanie,True,unbranded independent,,0,1,0.0,0.0,27.0,0.0,20.6,1,5599,1935.9112,1935.9112,44.23255692751149,False,0 | indépendant,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R10100000772489,66195,66195,Le Soler,76 - Occitanie,True,unbranded independent,,0,1,35.0,65.0,81.0,27.0,2.0,1,208395,47968.95620000001,1332.4710055555558,90.35300790467038,True,,,,,,,,,,,,
R10100000772568,73087,73087,Cognin,84 - Auvergne-Rhône-Alpes,True,mutualist network,Écouter Voir / mutualiste,0,3,23.0,46.0,55.0,18.0,0.0,2,151868,31244.470699999994,1301.852945833333,106.2740094507661,False,,,,,,,,,,,,
R10100000772574,45082,45082,Châteauneuf-sur-Loire,24 - Centre-Val de Loire,True,brand network,Audilab,0,1,2.0,13.0,50.0,2.0,0.0,2,29855,5992.9143,1997.6381,60.43559494761931,False,1-2 | enseigne nationale,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
R10100000772575,86070,86070,Chauvigny,75 - Nouvelle-Aquitaine,True,mutualist network,Écouter Voir / mutualiste,0,1,1.0,4.0,31.0,1.0,0.0,2,16043,3833.6486,1916.8243,47.38393017684664,False,1-2 | mutualiste,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
R10100000772664,66124,66124,Font-Romeu-Odeillo-Via,76 - Occitanie,True,unbranded independent,,1,2,1.0,2.0,2.0,1.0,8.9,1,9702,2003.035,1001.5175,115.34873902046115,True,1-2 | indépendant,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
R10100000772678,2B123,2B123,Ghisonaccia,94 - Corse,True,unbranded independent,,1,1,2.0,2.0,2.0,2.0,0.0,3,11151,2469.5934,823.1977999999999,108.20061884179708,False,1-2 | indépendant,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
R10100000772692,2B169,2B169,Morosaglia,94 - Corse,True,unbranded independent,,1,1,0.0,3.0,12.0,0.0,19.7,1,3989,1278.1912,1278.1912,65.14985998173212,True,0 | indépendant,1.0,,,,,,,,,,
R10100000772693,2B033,2B033,Bastia,94 - Corse,True,unbranded independent,,1,1,13.0,15.0,19.0,13.0,0.0,9,75118,18015.9594,1286.854242857143,88.88269956024541,False,10+ | indépendant,3.7745901639344255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R10100000772697,42052,42052,Charlieu,84 - Auvergne-Rhône-Alpes,True,unbranded independent,,1,3,2.0,22.0,24.0,2.0,0.0,2,24579,6220.430300000001,2073.476766666667,72.21193483173381,False,1-2 | indépendant,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R10100000772896,03310,03310,Vichy,84 - Auvergne-Rhône-Alpes,True,unbranded independent,,1,2,11.0,14.0,16.0,11.0,0.0,9,75424,22550.479300000003,1879.2066083333336,60.97620271951617,False,,,,,,,,,,,,
R10100000772910,45004,45004,,24 - Centre-Val de Loire,True,unbranded independent,,1,2,10.0,10.0,14.0,10.0,0.0,5,65862,15888.741,1444.431,48.27709281760871,False,,,,,,,,,,,,
R10100000772916,06069,06069,Grasse,93 - Provence-Alpes-Côte d'Azur,True,unbranded independent,,1,1,17.0,77.0,149.0,15.0,0.0,7,143315,31418.3126,1745.461811111111,64.36376216717868,False,10+ | indépendant,3.7745901639344255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
R10100000772926,21209,21209,Couternon,27 - Bourgogne-Franche-Comté,True,unbranded independent,,1,1,32.0,46.0,55.0,20.0,2.9,1,238202,46550.447100000005,1410.6196090909093,89.00220015608424,True,,,,,,,,,,,,
R10100000772930,92024,92024,Clichy,11 - Île-de-France,True,unbranded independent,,1,1,588.0,1020.0,1238.0,411.0,0.0,8,4082231,629173.7859,1068.2067672325977,128.29338114576203,False,,,,,,,,,,,,
