entrant_commune,type,n,part_avec_avis,avis_median,avis_q75,note_moyenne,part_site_web
False,enseigne nationale,1112.0,0.9672969849930511,33.0,84.0,4.726178373786622,0.995253614444369
False,mutualiste,154.0,0.9551444324999132,27.0,58.0,4.749818771518991,0.9596872074071505
False,indépendant,1050.0,0.9104052871547972,24.0,61.0,4.814731409442243,0.8823258656972508
True,enseigne nationale,142.0,0.9658553463985,22.0,82.0,4.799455062616588,0.9569537600693132
True,mutualiste,13.0,1.0,27.0,61.0,4.925277865989203,1.0
True,indépendant,290.0,0.9118572533146033,13.0,46.0,4.84215623379132,0.905976718678958
