type,n,n_apparies,part_trouves_google,part_appariement_valide,part_avec_avis,avis_median,avis_moyen,note_moyenne,note_ecart_type,part_note_5,part_site_web
enseigne nationale,1344.0,1334.0,1.0,0.9915621683845074,0.9695100679195358,33.0,86.42249807797076,4.732447790730459,0.3124361967932361,0.23090248302027486,0.9926930093893016
mutualiste,173.0,173.0,1.0,1.0,0.9607047922837396,27.0,44.43315865421127,4.76515146724007,0.3999023634345562,0.2916613964077915,0.9646844383686488
indépendant,1482.0,1459.0,0.998833474184233,0.9903130711238243,0.9106401388786945,23.0,84.0651553519526,4.811600263468366,0.4097771451984428,0.4804820344405667,0.8786522269246039
