bande10,n,site_referencé,site_lu,prix_affiche,grille_tarifs,sante100,classe2,essai_gratuit,bilan_gratuit,rdv_en_ligne,devis,garantie_suivi
0,166.0,0.8734939759036144,0.8313253012048193,0.043478260869565216,0.057971014492753624,0.6376811594202898,0.2246376811594203,0.572463768115942,0.6014492753623188,0.782608695652174,0.391304347826087,0.5869565217391305
1-2,358.0,0.9078212290502793,0.8435754189944135,0.026490066225165563,0.033112582781456956,0.6225165562913907,0.18874172185430463,0.4966887417218543,0.5496688741721855,0.7549668874172185,0.32781456953642385,0.5662251655629139
3-9,207.0,0.8840579710144927,0.8502415458937198,0.04545454545454545,0.06818181818181818,0.6590909090909091,0.23295454545454544,0.5681818181818181,0.6306818181818181,0.7784090909090909,0.4488636363636364,0.6704545454545454
10+,728.0,0.8736263736263737,0.8296703296703297,0.059602649006622516,0.07781456953642384,0.6307947019867549,0.2615894039735099,0.5480132450331124,0.5811258278145695,0.8029801324503312,0.40066225165562913,0.6142384105960264
