bande10,type,n,n_apparies,part_trouves_google,part_appariement_valide,part_avec_avis,avis_median,avis_moyen,note_moyenne,note_ecart_type,part_note_5,part_site_web
0,enseigne nationale,105.0,105.0,1.0,1.0,0.9047619047619048,11.0,19.114285714285714,4.8178947368421055,0.2930704773755646,0.3894736842105263,1.0
0,mutualiste,9.0,9.0,1.0,1.0,1.0,25.0,36.77777777777778,4.822222222222222,0.1474055462380178,0.2222222222222222,0.8888888888888888
0,indépendant,177.0,166.0,0.9943502824858758,0.9378531073446328,0.8493975903614458,8.0,20.59036144578313,4.816312056737588,0.4815200685116434,0.6028368794326241,0.8734939759036144
1-2,enseigne nationale,348.0,346.0,1.0,0.9942528735632183,0.9682080924855492,20.0,43.23410404624278,4.763880597014925,0.4090504301423525,0.32238805970149254,0.9855491329479769
1-2,mutualiste,42.0,42.0,1.0,1.0,0.8809523809523809,14.0,24.952380952380953,4.6567567567567565,0.6938106839455911,0.35135135135135137,0.9523809523809523
1-2,indépendant,364.0,358.0,1.0,0.9835164835164835,0.8910614525139665,11.0,25.95810055865922,4.775548589341693,0.5742905641117487,0.4890282131661442,0.9078212290502793
3-9,enseigne nationale,250.0,250.0,1.0,1.0,0.984,31.0,73.424,4.74186991869919,0.2600714398209894,0.21951219512195128,0.9960000000000001
3-9,mutualiste,45.0,45.0,1.0,1.0,0.9555555555555556,26.0,42.711111111111094,4.820930232558139,0.1692090210565697,0.27906976744186035,1.0
3-9,indépendant,209.0,207.0,1.0,0.9904306220095694,0.8695652173913043,18.0,69.63285024154587,4.836666666666666,0.28005951748393293,0.47222222222222215,0.8840579710144927
10+,enseigne nationale,641.0,633.0,1.0,0.9875195007800313,0.966824644549763,39.0,100.76777251184834,4.720588235294117,0.3152978367744752,0.2156862745098039,0.9921011058451815
10+,mutualiste,77.0,77.0,1.0,1.0,0.9740259740259739,31.0,48.49350649350649,4.745333333333332,0.4406944015477796,0.2933333333333333,0.948051948051948
10+,indépendant,732.0,728.0,0.9986338797814207,0.9945355191256832,0.9285714285714286,29.0,99.5741758241758,4.809171597633135,0.4094359232993364,0.47485207100591714,0.8736263736263737
