type,n,site_referencé,site_lu,prix_affiche,grille_tarifs,sante100,classe2,essai_gratuit,bilan_gratuit,rdv_en_ligne,devis,garantie_suivi
enseigne nationale,1334.0,0.9926930093893016,0.989171454246796,0.2752778322246852,0.4789754420266942,0.8502538069923156,0.5172125204719848,0.9242157723733703,0.9312107688648544,0.9758224623052659,0.7929207573690018,0.9431678283857745
mutualiste,173.0,0.9646844383686488,0.9499101288574971,0.007798008656162718,0.007798008656162718,0.07398780461804148,0.007798008656162718,0.9358196703835576,0.7893151823977145,0.9358623115792167,0.7856213888237427,0.08383792081529967
indépendant,1459.0,0.8786522269246039,0.8349321777421731,0.05321266210299456,0.07112521262928427,0.6358920816093171,0.24796020396094637,0.5483898684893974,0.5888765840567339,0.7930409902836416,0.40324319672624886,0.6198781092697989
