bande10,n,site_referencé,site_lu,prix_affiche,grille_tarifs,sante100,classe2,essai_gratuit,bilan_gratuit,rdv_en_ligne,devis,garantie_suivi
0,280.0,0.9214285714285714,0.8964285714285715,0.1553784860557769,0.2589641434262948,0.7569721115537849,0.32669322709163345,0.7211155378486056,0.7370517928286853,0.8605577689243028,0.5657370517928287,0.7051792828685259
1-2,746.0,0.9463806970509383,0.9128686327077749,0.15712187958883994,0.31130690161527164,0.7562408223201175,0.3406754772393539,0.7518355359765051,0.7591776798825257,0.8751835535976505,0.5726872246696035,0.7312775330396476
3-9,502.0,0.9502097746050099,0.9342632494339251,0.15552367748596427,0.31743579159276153,0.6648120989468757,0.3238558946929823,0.7804391682445779,0.8080385368733403,0.9061932100734897,0.6503425280937063,0.7500335010817346
10+,1438.0,0.929758951598433,0.9047230808463652,0.161391437566833,0.31740303034548184,0.7101662943647901,0.38504559503161295,0.7524910469507523,0.759399769391499,0.8908455010274025,0.617209019698259,0.7462842962943503
