bande10,n,n_apparies,part_trouves_google,part_appariement_valide,part_avec_avis,avis_median,avis_moyen,note_moyenne,note_ecart_type,part_note_5,part_site_web
0,291.0,280.0,0.9965635738831615,0.9621993127147767,0.875,9.0,20.557142857142857,4.817142857142858,0.40931999357819937,0.5061224489795918,0.9214285714285714
1-2,754.0,746.0,1.0,0.9893899204244032,0.9262734584450402,16.0,33.9142091152815,4.763531114327063,0.5097330308897882,0.40086830680173663,0.9463806970509383
3-9,504.0,502.0,1.0,0.9960324544222544,0.9342550605958869,25.0,69.09020163625304,4.785541379199883,0.2651390912361521,0.32198010566796914,0.9502097746050099
10+,1450.0,1438.0,0.9993103252030084,0.9917250706616402,0.9478441789165197,34.0,97.36086734610346,4.76588699836434,0.3746298178168957,0.34850486763550476,0.929758951598433
