tercile_revenu,n,part_avec_avis,avis_median,note_moyenne,part_indep,part_site_web
T1 (bas),1072.0,0.9268703961169358,26.0,4.752933778637078,0.4720796019113079,0.9204348168398775
T2,1012.0,0.9418159558229441,29.0,4.765771206862631,0.4679516271147584,0.9286866654259515
T3 (haut),882.0,0.9525135732466415,28.0,4.795910556639088,0.5164587628142302,0.9577460696709873
