bande_alt10,n,part_avec_avis,avis_median,note_moyenne
0,280.0,0.875,9.0,4.817142857142858
1-2,749.0,0.9273753975367757,16.0,4.766805152493554
3-9,559.0,0.9355900458276559,26.0,4.785694194531822
10+,1378.0,0.9477510778191134,34.0,4.764552055404751
